step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,2370.43,0.79264,0.15727,1.745,0.0183465
3,insert,20.312,-1.0,-1.0,0.0,0.0223853
4,search,1849.53,0.80591,0.154693,1.568,0.0223853
5,insert,26.312,-1.0,-1.0,0.0,0.0328118
6,search,1806.6,0.86827,0.143601,170.432,0.0327742
7,insert,33.965,-1.0,-1.0,0.0,0.0427698
8,search,1837.66,0.86926,0.140821,211.307,0.0423957
9,insert,4.234,-1.0,-1.0,0.0,0.0443512
10,search,1872,0.87893,0.134219,236.555,0.044146
11,insert,14.287,-1.0,-1.0,0.0,0.0492725
12,search,1909.27,0.89952,0.119695,178.682,0.0491815
13,insert,27.952,-1.0,-1.0,0.0,0.0605692
14,search,1865.12,0.89471,0.123545,137.244,0.0605256
15,insert,23.923,-1.0,-1.0,0.0,0.0695469
16,search,1934.97,0.90145,0.117855,157.477,0.0691939
17,insert,4.199,-1.0,-1.0,0.0,0.07132
18,search,1958.84,0.90297,0.117948,153.911,0.0712368
19,insert,43.037,-1.0,-1.0,0.0,0.0782773
20,search,2032.41,0.91147,0.111212,117.065,0.0782683
21,insert,482.318,-1.0,-1.0,0.0,0.197889
22,search,2391.27,0.91268,0.107618,540.626,0.197268
23,insert,367.092,-1.0,-1.0,0.0,0.322254
24,search,3112.75,0.91586,0.105317,1270.93,0.321147
25,insert,51.624,-1.0,-1.0,0.0,0.341713
26,search,2946.23,0.89096,0.120569,933.838,0.341172
27,insert,30.927,-1.0,-1.0,0.0,0.3528
28,search,2878.29,0.86545,0.135159,591.642,0.353767
29,insert,85.583,-1.0,-1.0,0.0,0.379818
30,search,2912.4,0.86581,0.135647,436.711,0.379959
31,insert,454.665,-1.0,-1.0,0.0,0.541888
32,search,3562,0.87398,0.131974,1769.48,0.541311
33,insert,71.333,-1.0,-1.0,0.0,0.564693
34,search,3449.56,0.85727,0.141115,1305.06,0.566473
35,insert,42.006,-1.0,-1.0,0.0,0.580664
36,search,3434.88,0.85308,0.143894,418.574,0.580322
37,insert,54.78,-1.0,-1.0,0.0,0.600903
38,search,3437.14,0.85261,0.144287,315.559,0.601657
39,insert,4.759,-1.0,-1.0,0.0,0.604079
40,search,2894.42,0.85691,0.142132,320.784,0.603973
41,insert,44.326,-1.0,-1.0,0.0,0.618961
42,search,3486.31,0.85956,0.140792,513.456,0.618796
43,insert,10.257,-1.0,-1.0,0.0,0.623914
44,search,3480.71,0.85911,0.140584,446.153,0.624144
45,insert,257.317,-1.0,-1.0,0.0,0.638205
46,search,3462.88,0.86065,0.139706,499.457,0.63791
47,insert,303.829,-1.0,-1.0,0.0,0.741015
48,search,3558.95,0.8649,0.13903,1306.45,0.740241
49,insert,42.084,-1.0,-1.0,0.0,0.75487
50,search,3796.34,0.86379,0.141246,890.549,0.75556
51,insert,495.022,-1.0,-1.0,0.0,0.891335
52,search,3945.57,0.87665,0.132782,1925.26,0.890553
53,insert,61.582,-1.0,-1.0,0.0,0.909738
54,search,4196.81,0.86639,0.139038,1272.46,0.909348
55,insert,402.291,-1.0,-1.0,0.0,1.04916
56,search,4498.11,0.87953,0.133721,3073.49,1.04993
57,insert,33.233,-1.0,-1.0,0.0,1.05899
58,search,4535.96,0.87348,0.137471,1580.18,1.05987
59,insert,295.398,-1.0,-1.0,0.0,1.15773
60,search,4644.69,0.87461,0.135688,2346.47,1.1571
61,insert,23.623,-1.0,-1.0,0.0,1.16123
62,search,4522.09,0.86913,0.141141,1087.59,1.16131
63,insert,5.186,-1.0,-1.0,0.0,1.16269
64,search,4473.07,0.86846,0.141798,1028.11,1.16244
65,insert,184.46,-1.0,-1.0,0.0,1.19188
