step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
39,insert,12.916,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.388,0.608722,1221,1379335
40,search,3318.76,1550.37,989.235,0.975417,86.3315,-nan,-nan,0.89449,0.118777,-1.0,-1.0,8.823,0.608722,1221,1379335
41,insert,45.764,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.185,0.623868,1225,1413312
42,search,3364.19,1575.61,1000.7,0.987989,76.259,-nan,-nan,0.89563,0.117823,-1.0,-1.0,5.993,0.623868,1225,1413312
43,insert,7.366,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.312,0.627645,1225,1423411
44,search,3423.3,1588.91,995.033,0.996097,67.0249,-nan,-nan,0.8958,0.118005,-1.0,-1.0,8.893,0.627645,1225,1423411
45,insert,172.698,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.959,0.641578,1230,1457559
46,search,3373.28,1610.72,968.708,1.02897,76.0286,-nan,-nan,0.89681,0.117022,-1.0,-1.0,8.742,0.641578,1230,1457559
47,insert,197.627,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,199.281,0.748462,1261,1688593
48,search,3558.05,1744.31,1116.74,0.992678,79.6673,-nan,-nan,0.89773,0.118657,-1.0,-1.0,56.707,0.74846,1271,1688593
49,insert,18.387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.748,0.76251,1274,1723505
50,search,3606.29,1746.5,1105.27,1.01215,81.4916,-nan,-nan,0.89881,0.117586,-1.0,-1.0,32.53,0.76251,1280,1723505
51,insert,298.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,299.64,0.905831,1328,2035040
52,search,3646.86,1900.84,1239.21,0.942485,92.116,-nan,-nan,0.90108,0.116045,-1.0,-1.0,24.097,0.906126,1333,2035040
53,insert,28.237,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.899,0.92353,1336,2078341
54,search,3222.39,1919.19,1179.75,1.05211,102.982,-nan,-nan,0.90223,0.115801,-1.0,-1.0,6.52,0.92353,1336,2078341
55,insert,199.364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,273.513,1.07194,1395,2399905
56,search,4016.56,2079.68,1290.64,1.02876,104.923,-nan,-nan,0.90345,0.117146,-1.0,-1.0,105.482,1.07206,1411,2399905
57,insert,23.742,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.379,1.07953,1414,2419836
58,search,4161.97,2035.15,1304.06,1.0911,100.361,-nan,-nan,0.90193,0.118316,-1.0,-1.0,40.666,1.07955,1418,2419836
59,insert,212.387,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,134.414,1.18011,1433,2643083
60,search,3922.69,2091.58,1426.44,0.96094,114.17,-nan,-nan,0.8957,0.12527,-1.0,-1.0,29.111,1.18025,1437,2643083
61,insert,7.494,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.07,1.18439,1437,2653064
62,search,4174.03,2092.84,1433.79,0.999942,120.149,-nan,-nan,0.89566,0.125219,-1.0,-1.0,6.565,1.18439,1437,2653064
63,insert,2.264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.214,1.18568,1437,2656118
64,search,3831.67,2094.01,1455.05,1.01849,119.298,-nan,-nan,0.89579,0.125109,-1.0,-1.0,6.614,1.18568,1437,2656118
65,insert,41.662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.378,1.21047,1453,2723424
66,search,3624.52,2126.81,1415.59,1.03841,119.033,-nan,-nan,0.89669,0.12415,-1.0,-1.0,8.637,1.21061,1454,2723424
67,insert,23.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.871,1.23206,1469,2769021
68,search,3659.36,2131.9,1436.3,1.05355,120.01,-nan,-nan,0.89779,0.123401,-1.0,-1.0,16.706,1.23223,1473,2769021
69,insert,24.821,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.243,1.25341,1484,2821777
70,search,3695.22,2134.13,1451.23,1.05794,124.672,-nan,-nan,0.89908,0.122793,-1.0,-1.0,10.167,1.25367,1485,2821777
71,insert,8.385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.34,1.25929,1487,2834921
72,search,4325.33,2142.27,1415.32,1.05746,117.452,-nan,-nan,0.90003,0.12229,-1.0,-1.0,16.161,1.25935,1488,2834921
73,insert,7.535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.589,1.26219,1489,2842044
74,search,4570.26,2143.59,1543.09,0.993555,121.9,-nan,-nan,0.89981,0.122471,-1.0,-1.0,12.545,1.26219,1489,2842044
75,insert,25.834,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.791,1.26926,1490,2858890
76,search,4574.79,2156.74,1546.15,0.97941,131.771,-nan,-nan,0.90005,0.122329,-1.0,-1.0,11.288,1.26926,1490,2858890
77,insert,35.561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.788,1.27844,1491,2882818
78,search,4615.18,2167.85,1564.21,0.939767,135.21,-nan,-nan,0.89984,0.122496,-1.0,-1.0,13.272,1.27844,1491,2882818
79,insert,481.218,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.99,1.30742,1492,2947806
80,search,4517.42,2200.72,1502.66,1.09335,124.85,-nan,-nan,0.8995,0.122604,-1.0,-1.0,11.711,1.30742,1492,2947806
81,insert,43.179,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.441,1.32074,1497,2976895
82,search,4684.37,2208.95,1605.37,0.924379,145.748,-nan,-nan,0.90072,0.121644,-1.0,-1.0,18.958,1.3208,1498,2976895
83,insert,16.358,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.67,1.3266,1501,2990682
84,search,4547.94,2210.08,1610.83,0.975595,141.36,-nan,-nan,0.90136,0.121149,-1.0,-1.0,13.405,1.32668,1502,2990682
85,insert,24.411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.028,1.34056,1506,3025613
86,search,4094.95,2221.68,1509.22,1.02205,130.943,-nan,-nan,0.90185,0.120941,-1.0,-1.0,11.399,1.34056,1506,3025613
87,insert,606.709,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,638.653,1.54251,1595,3468632
88,search,4921.17,2374.19,1760.66,1.00098,147.64,-nan,-nan,0.90522,0.117856,-1.0,-1.0,86.125,1.54251,1605,3468632
89,insert,364.446,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,307.623,1.70253,1677,3831692
90,search,5332.64,2472.17,1946.52,0.967054,159.683,-nan,-nan,0.90929,0.113609,-1.0,-1.0,48.134,1.70253,1683,3831692
91,insert,29.098,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.404,1.71237,1685,3864067
92,search,5335.62,2477.16,1916.86,0.968151,162.061,-nan,-nan,0.90925,0.113488,-1.0,-1.0,13.903,1.71237,1685,3864067
93,insert,210.068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,165.551,1.8181,1715,4103827
94,search,5600.08,2542.53,2065.02,0.927304,184.717,-nan,-nan,0.91003,0.112621,-1.0,-1.0,41.096,1.81861,1718,4103827
95,insert,14.982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.433,1.823,1719,4119898
96,search,5477.38,2548.23,1978.07,1.05451,162.504,-nan,-nan,0.91037,0.112289,-1.0,-1.0,16.248,1.823,1719,4119898
97,insert,9.692,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.187,1.82599,1722,4129367
98,search,5442.4,2547.51,1924.89,1.03489,159.298,-nan,-nan,0.91056,0.112102,-1.0,-1.0,23.581,1.82619,1723,4129367
99,insert,6.962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.909,1.82783,1723,4134502
100,search,5597.96,2549.3,2062.75,0.969111,184.331,-nan,-nan,0.91068,0.111999,-1.0,-1.0,15.915,1.82783,1723,4134502
101,insert,36.206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.113,1.83822,1727,4164482
102,search,5507.75,2562.36,2070.23,0.951069,181.729,-nan,-nan,0.91064,0.11203,-1.0,-1.0,15.905,1.83822,1727,4164482
103,insert,16.916,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.014,1.84428,1732,4178601
104,search,5579.7,2559.78,2029.35,0.999137,170.795,-nan,-nan,0.91084,0.11206,-1.0,-1.0,15.866,1.84428,1732,4178601
105,insert,9.308,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.508,1.8465,1733,4187774
106,search,5508.6,2564.05,1975.38,0.998379,161.914,-nan,-nan,0.91085,0.112368,-1.0,-1.0,16.772,1.8465,1733,4187774
107,insert,19.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.175,1.85099,1733,4200109
108,search,4853.57,2568.7,2083.29,0.942483,179.987,-nan,-nan,0.91059,0.112565,-1.0,-1.0,10.957,1.85099,1733,4200109
109,insert,268.984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,353.487,2.01503,1806,4557867
110,search,5764.89,2652.85,2176.41,0.964127,183.428,-nan,-nan,0.91289,0.110385,-1.0,-1.0,101.807,2.01605,1818,4557867
111,insert,28.423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.688,2.02776,1827,4587252
112,search,5942.74,2631.78,2200.08,0.966084,184.989,-nan,-nan,0.91342,0.109909,-1.0,-1.0,24.935,2.02776,1828,4587252
113,insert,13.455,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.299,2.03296,1830,4600056
114,search,5886.97,2630.34,2126.88,0.991812,175.459,-nan,-nan,0.91374,0.109701,-1.0,-1.0,20.094,2.03296,1830,4600056
115,insert,29.989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.753,2.04262,1836,4627422
116,search,5974.57,2636.82,2191.19,0.990823,183.027,-nan,-nan,0.9144,0.109338,-1.0,-1.0,31.072,2.04287,1837,4627422
117,insert,13.504,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.542,2.04819,1840,4639292
118,search,5949.29,2636.57,2165.42,1.01338,181.97,-nan,-nan,0.91432,0.109371,-1.0,-1.0,23.314,2.04819,1840,4639292
119,insert,5.368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.807,2.0492,1840,4643423
120,search,6060.09,2638.79,2263.57,0.97286,199.949,-nan,-nan,0.91438,0.109429,-1.0,-1.0,21.5,2.0492,1840,4643423
121,insert,17.716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.694,2.0547,1840,4657252
122,search,6060.43,2646.35,2268.34,0.978382,197.196,-nan,-nan,0.91461,0.109221,-1.0,-1.0,21.499,2.0547,1840,4657252
123,insert,400.891,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,457.173,2.18718,1885,4938477
124,search,6270.59,2708.85,2372.8,0.960018,206.372,-nan,-nan,0.91551,0.108998,-1.0,-1.0,169.289,2.18801,1901,4938477
125,insert,60.857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.422,2.20631,1910,4980492
126,search,6297.01,2684.65,2363.09,0.913016,206.927,-nan,-nan,0.91578,0.109018,-1.0,-1.0,93.82,2.20686,1919,4980492
127,insert,65.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.677,2.22905,1932,5030515
128,search,6285.35,2670.76,2316.4,1.00421,191.923,-nan,-nan,0.91628,0.108731,-1.0,-1.0,38.75,2.22907,1934,5030515
129,delete,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.595,2.22697,1901,5009391
130,search,6206.9,2663.29,2303.53,0.948941,196.303,-nan,-nan,0.91474,0.1097,-1.0,-1.0,24.941,2.22697,1901,5009391
131,delete,5.103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.09,2.22697,1901,5004093
132,search,6239.44,2659.88,2330.52,0.933567,200.013,-nan,-nan,0.9148,0.109624,-1.0,-1.0,24.584,2.22697,1901,5004093
133,delete,11.991,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.917,2.22617,1900,4991787
134,search,6256.17,2650.47,2333.63,0.959278,204.392,-nan,-nan,0.91468,0.109914,-1.0,-1.0,24.479,2.22617,1900,4991787
135,delete,17.271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.595,2.22358,1897,4974857
136,search,6121.25,2643.61,2234.65,1.00228,185.537,-nan,-nan,0.91447,0.10983,-1.0,-1.0,24.585,2.22358,1897,4974857
137,delete,3.223,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.963,2.22358,1897,4971386
138,search,6199.54,2640.46,2296.19,0.952652,195.776,-nan,-nan,0.91441,0.109872,-1.0,-1.0,24.711,2.22358,1897,4971386
139,delete,9.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.705,2.22358,1897,4963487
140,search,6239.46,2635.72,2315.73,0.932836,199.945,-nan,-nan,0.9144,0.109995,-1.0,-1.0,27.144,2.22358,1897,4963487
141,delete,40.931,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,104.844,2.21723,1890,4941830
142,search,6116.81,2629.62,2230.89,0.968625,182.233,-nan,-nan,0.91429,0.110094,-1.0,-1.0,24.336,2.21723,1890,4941830
143,delete,17.801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,106.489,2.2119,1886,4925657
