step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
71,insert,18.517,-1.0,-1.0,-1.0,-1.0,27.016,1.25833,1436,2834921
72,search,3610.55,0.86539,0.14234,21.5078,19.0046,8.544,1.25833,1436,2834921
73,insert,7.505,-1.0,-1.0,-1.0,-1.0,19.883,1.26069,1438,2842044
74,search,3624.63,0.86524,0.142453,21.4984,18.9971,8.232,1.26069,1438,2842044
75,insert,24.776,-1.0,-1.0,-1.0,-1.0,26.473,1.26741,1441,2858890
76,search,3649.68,0.86629,0.141337,21.475,18.9623,21.085,1.26766,1443,2858890
77,insert,32.532,-1.0,-1.0,-1.0,-1.0,25.674,1.27695,1446,2882818
78,search,3625.03,0.86492,0.142189,21.579,19.0371,8.484,1.27695,1446,2882818
79,insert,467.313,-1.0,-1.0,-1.0,-1.0,7.24,1.30434,1446,2947806
80,search,3636.89,0.86495,0.14229,21.6919,19.1546,8.306,1.30434,1446,2947806
81,insert,34.646,-1.0,-1.0,-1.0,-1.0,29.468,1.31699,1449,2976895
82,search,3646.04,0.86584,0.141918,21.5183,19.0851,7.975,1.31699,1449,2976895
83,insert,15.699,-1.0,-1.0,-1.0,-1.0,19.101,1.3229,1451,2990682
84,search,3660.72,0.86702,0.140947,21.4726,19.0689,9.047,1.3229,1451,2990682
85,insert,39.612,-1.0,-1.0,-1.0,-1.0,20.07,1.33627,1453,3025613
86,search,3624.78,0.86791,0.140661,21.375,19.0761,8.325,1.33627,1453,3025613
87,insert,671.505,-1.0,-1.0,-1.0,-1.0,560.225,1.5433,1524,3468632
88,search,4018.18,0.87117,0.138193,20.9937,18.8929,88.589,1.54333,1535,3468632
89,insert,418.166,-1.0,-1.0,-1.0,-1.0,445.405,1.70092,1595,3831692
90,search,4258.33,0.87535,0.133437,20.6001,18.5074,44.56,1.7011,1600,3831692
91,insert,40.406,-1.0,-1.0,-1.0,-1.0,34.17,1.71286,1604,3864067
92,search,4291.22,0.87541,0.1332,20.6264,18.5244,15.297,1.71291,1605,3864067
93,insert,270.232,-1.0,-1.0,-1.0,-1.0,187.571,1.81663,1628,4103827
94,search,4401.52,0.87596,0.13334,20.4969,18.4313,28.677,1.81684,1630,4103827
95,insert,18.795,-1.0,-1.0,-1.0,-1.0,21.703,1.82315,1632,4119898
96,search,4338.53,0.8768,0.132725,20.449,18.4249,15.911,1.82329,1633,4119898
97,insert,11.366,-1.0,-1.0,-1.0,-1.0,22.009,1.82724,1635,4129367
98,search,4399.33,0.87635,0.132979,20.4711,18.4304,9.554,1.82724,1635,4129367
99,insert,5.836,-1.0,-1.0,-1.0,-1.0,22.732,1.82884,1637,4134502
100,search,4416.76,0.87634,0.133101,20.4432,18.4272,10.738,1.82884,1637,4134502
101,insert,37.583,-1.0,-1.0,-1.0,-1.0,38.519,1.84193,1642,4164482
102,search,4465.68,0.87692,0.132818,20.4162,18.4205,10.145,1.84193,1642,4164482
103,insert,15.477,-1.0,-1.0,-1.0,-1.0,22.676,1.84756,1644,4178601
104,search,4443.6,0.87701,0.13287,20.3856,18.3963,10.762,1.84756,1644,4178601
105,insert,12.599,-1.0,-1.0,-1.0,-1.0,17.064,1.85088,1645,4187774
106,search,4469.21,0.87704,0.132927,20.3724,18.3854,10.587,1.85088,1645,4187774
107,insert,22.857,-1.0,-1.0,-1.0,-1.0,9.367,1.85653,1645,4200109
108,search,4468.94,0.87714,0.1331,20.3782,18.3998,18.019,1.85681,1646,4200109
109,insert,556.199,-1.0,-1.0,-1.0,-1.0,535.436,2.02015,1713,4557867
110,search,4724.51,0.87922,0.13168,20.2081,18.4495,76.833,2.02124,1721,4557867
111,insert,31.283,-1.0,-1.0,-1.0,-1.0,93.1,2.03272,1736,4587252
112,search,4777.86,0.87917,0.131589,20.1872,18.4653,20.779,2.03301,1737,4587252
113,insert,12.125,-1.0,-1.0,-1.0,-1.0,25.675,2.03628,1739,4600056
114,search,4767.28,0.87921,0.131581,20.1737,18.466,12.165,2.03628,1739,4600056
115,insert,39.108,-1.0,-1.0,-1.0,-1.0,17.433,2.04741,1740,4627422
116,search,4799.69,0.88041,0.130799,20.0795,18.4134,18.172,2.04748,1741,4627422
117,insert,11.424,-1.0,-1.0,-1.0,-1.0,10.782,2.05029,1741,4639292
118,search,4790.3,0.88052,0.130588,20.0782,18.4176,12.466,2.05029,1741,4639292
119,insert,4.439,-1.0,-1.0,-1.0,-1.0,10.977,2.0514,1741,4643423
120,search,4490.36,0.88058,0.130556,20.075,18.4178,13.098,2.0514,1741,4643423
121,insert,22.447,-1.0,-1.0,-1.0,-1.0,38.926,2.05832,1745,4657252
122,search,4811.11,0.88046,0.130671,20.0593,18.4214,13.487,2.05832,1745,4657252
123,insert,387.349,-1.0,-1.0,-1.0,-1.0,477.646,2.18625,1784,4938477
