step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,1966.88,0.71332,0.182665,1.162,0.0183453
3,insert,22.103,-1.0,-1.0,0.0,0.0223841
4,search,1398.1,0.72815,0.180415,1.184,0.0223841
5,insert,31.968,-1.0,-1.0,0.0,0.0328105
6,search,1389.93,0.799,0.180539,177.015,0.032773
7,insert,34.503,-1.0,-1.0,0.0,0.0427686
8,search,1399.31,0.81574,0.16815,133.372,0.0427686
9,insert,4.49,-1.0,-1.0,0.0,0.044299
10,search,1407.64,0.82142,0.165197,134.381,0.044299
11,insert,13.766,-1.0,-1.0,0.0,0.0500224
12,search,1431.51,0.82763,0.16291,180.121,0.0500224
13,insert,52.451,-1.0,-1.0,0.0,0.0608752
14,search,1446.61,0.82239,0.165688,170.954,0.0605223
15,insert,21.708,-1.0,-1.0,0.0,0.0686713
16,search,1425.14,0.83243,0.15671,135.156,0.0688671
17,insert,3.033,-1.0,-1.0,0.0,0.0705889
18,search,1456.43,0.83221,0.15824,159.039,0.071309
19,insert,40.076,-1.0,-1.0,0.0,0.0784319
20,search,1487.27,0.84655,0.148915,158.331,0.0782972
21,insert,491.279,-1.0,-1.0,0.0,0.197168
22,search,1818.86,0.85366,0.143039,430.002,0.197955
23,insert,376.862,-1.0,-1.0,0.0,0.321783
24,search,2471.47,0.85815,0.14255,1096.25,0.320824
25,insert,45.479,-1.0,-1.0,0.0,0.338688
26,search,2243.45,0.81484,0.162522,854.74,0.34008
27,insert,43.335,-1.0,-1.0,0.0,0.353591
28,search,2075.38,0.78549,0.174883,730.448,0.352456
29,insert,84.975,-1.0,-1.0,0.0,0.379445
