step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb,num_partitions
2,search,3052.35,0.84693,0.134675,2.217,0.0183474,512
3,insert,14.282,-1.0,-1.0,3.021,0.0223861,512
4,search,2283.72,0.85904,0.131452,2.216,0.0223861,512
5,insert,14.95,-1.0,-1.0,258.384,0.0328126,512
6,search,2255.33,0.9098,0.11532,348.912,0.0328126,512
7,insert,19.231,-1.0,-1.0,256.457,0.0423292,512
8,search,2350.71,0.89642,0.124485,57.375,0.0427433,513
9,insert,2.791,-1.0,-1.0,2.168,0.0441937,513
10,search,2494.97,0.90505,0.117919,77.743,0.04443,514
11,insert,6.965,-1.0,-1.0,96.058,0.0489257,515
12,search,2473.79,0.91055,0.114017,89.258,0.0489114,517
13,insert,17.309,-1.0,-1.0,2.193,0.0602538,517
14,search,2367.95,0.91146,0.113818,2.389,0.0602538,517
15,insert,16.701,-1.0,-1.0,99.638,0.0690209,518
16,search,2371.72,0.92203,0.104381,114.965,0.0689206,520
17,insert,8.23,-1.0,-1.0,114.55,0.0709671,521
18,search,2407.12,0.93166,0.0964676,113.601,0.0708729,522
19,insert,36.7,-1.0,-1.0,123.103,0.0777375,524
20,search,2524.69,0.93605,0.0926929,105.129,0.0774755,525
21,insert,248.299,-1.0,-1.0,347.905,0.197139,533
22,search,3098.35,0.93738,0.089284,240.915,0.196603,539
23,insert,311.149,-1.0,-1.0,701.58,0.320968,550
24,search,3763.64,0.9407,0.0865359,653.624,0.322969,564
25,insert,34.842,-1.0,-1.0,226.891,0.340715,565
26,search,3675.66,0.93489,0.0911314,457.782,0.341604,581
27,insert,24.565,-1.0,-1.0,320.225,0.35472,583
28,search,3831.67,0.93092,0.0935963,276.442,0.355065,584
29,insert,47.836,-1.0,-1.0,409.284,0.380826,588
30,search,3661.84,0.93314,0.0922327,293.379,0.380524,591
31,insert,263.561,-1.0,-1.0,983.444,0.543114,623
32,search,3744.25,0.92264,0.100038,651.387,0.543589,643
33,insert,22.17,-1.0,-1.0,370.234,0.566268,648
34,search,3704.13,0.9145,0.106455,424.587,0.565921,654
35,insert,12.771,-1.0,-1.0,296.185,0.58143,655
36,search,3756.2,0.9156,0.106257,2.038,0.58143,655
37,insert,20.379,-1.0,-1.0,379.895,0.60236,658
38,search,4105.65,0.9135,0.109151,460.824,0.603224,659
39,insert,6.857,-1.0,-1.0,469.649,0.607435,660
40,search,4797.99,0.9148,0.108053,491.135,0.607466,661
41,insert,40.07,-1.0,-1.0,500.578,0.620233,663
42,search,4873.97,0.91496,0.107617,489.722,0.620301,664
43,insert,9.937,-1.0,-1.0,472.886,0.624885,665
44,search,4661.96,0.91463,0.107989,3.232,0.624885,665
45,insert,269.159,-1.0,-1.0,658.811,0.639031,671
46,search,4890.71,0.91339,0.108861,3.238,0.639031,671
47,insert,238.904,-1.0,-1.0,1291.38,0.73905,686
48,search,5221.34,0.91545,0.107941,851.538,0.741011,696
49,insert,31.528,-1.0,-1.0,654.285,0.758237,699
50,search,4529.81,0.91473,0.109044,494.586,0.757864,703
51,insert,132.057,-1.0,-1.0,1559.14,0.893247,734
52,search,4427.44,0.91232,0.111366,804.942,0.891891,750
53,insert,21.26,-1.0,-1.0,577.861,0.910586,753
54,search,4404.74,0.90858,0.113416,586.523,0.911836,757
55,insert,125.001,-1.0,-1.0,1776.06,1.05273,789
56,search,4608.43,0.91628,0.110746,936.412,1.05106,802
57,insert,13.789,-1.0,-1.0,639.656,1.05947,804
58,search,5009.62,0.91468,0.111657,888.131,1.05992,805
59,insert,205.321,-1.0,-1.0,2174.54,1.15633,826
60,search,5927,0.90928,0.11718,962.293,1.15565,828
61,insert,11.376,-1.0,-1.0,4.373,1.16078,828
62,search,5763.05,0.90895,0.117372,5.126,1.16078,828
63,insert,3.814,-1.0,-1.0,4.649,1.1617,828
64,search,5581.48,0.90894,0.117334,5.087,1.1617,828
65,insert,111.66,-1.0,-1.0,1263.49,1.19418,836
66,search,5499.45,0.90933,0.117046,5.138,1.19418,836
67,insert,36.671,-1.0,-1.0,1006.52,1.21327,842
68,search,5791.25,0.91032,0.116578,5.819,1.21327,842
69,insert,58.083,-1.0,-1.0,1096.69,1.23725,850
70,search,5703.49,0.91142,0.115672,1248.27,1.23743,852
71,insert,17.695,-1.0,-1.0,1177.65,1.24374,853
72,search,5995.16,0.91111,0.11604,5.842,1.24374,853
73,insert,8.156,-1.0,-1.0,5.4,1.24732,853
74,search,5964.59,0.9112,0.115993,5.956,1.24732,853
75,insert,23.489,-1.0,-1.0,5.636,1.25521,853
76,search,6199.02,0.91155,0.115585,5.899,1.25521,853
77,insert,30.555,-1.0,-1.0,983.17,1.26545,854
78,search,5287.02,0.91064,0.116364,4.177,1.26545,854
79,insert,354.395,-1.0,-1.0,777.317,1.29489,855
80,search,5350.82,0.91039,0.116305,4.391,1.29489,855
81,insert,32.461,-1.0,-1.0,777.546,1.30896,857
82,search,4440.17,0.91125,0.114905,4.217,1.30896,857
83,insert,7.25,-1.0,-1.0,810.006,1.31255,860
84,search,4484.46,0.9107,0.115327,4.163,1.31255,860
85,insert,16.15,-1.0,-1.0,911.038,1.32862,865
86,search,4481.53,0.91193,0.114554,797.126,1.32849,867
87,insert,187.904,-1.0,-1.0,3042.79,1.51841,920
88,search,4912.97,0.91393,0.111865,1409.96,1.521,943
89,insert,160.052,-1.0,-1.0,1997.85,1.67828,981
90,search,5286.75,0.91467,0.110616,1337.33,1.67712,995
91,insert,13.936,-1.0,-1.0,997.995,1.69163,997
92,search,5455.93,0.91434,0.111025,1125.78,1.69192,1003
93,insert,124.985,-1.0,-1.0,1963.63,1.79726,1024
94,search,5895.55,0.91415,0.111497,1199.42,1.7972,1032
95,insert,5.701,-1.0,-1.0,1044.99,1.80288,1033
96,search,5896.65,0.9146,0.111024,1057.3,1.80322,1034
