step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb,num_partitions
97,insert,4.663,-1.0,-1.0,8.24,1.80683,1034
98,search,5833.63,0.91477,0.110745,8.447,1.80683,1034
99,insert,5.847,-1.0,-1.0,1088.66,1.80694,1035
100,search,5799.42,0.91485,0.110668,8.309,1.80694,1035
101,insert,22.099,-1.0,-1.0,1123.97,1.81983,1037
102,search,5855.8,0.91494,0.110497,8.317,1.81983,1037
103,insert,14.465,-1.0,-1.0,1150.57,1.82976,1040
104,search,5804.81,0.91475,0.110716,1099.26,1.8295,1041
105,insert,5.179,-1.0,-1.0,8.17,1.83331,1041
106,search,5895.48,0.91479,0.110797,8.371,1.83331,1041
107,insert,11.734,-1.0,-1.0,1092.05,1.83849,1042
108,search,5975.61,0.91458,0.110844,8.252,1.83849,1042
109,insert,197.997,-1.0,-1.0,3063.23,1.99576,1079
110,search,6149.16,0.91548,0.11004,1553.92,1.99567,1097
111,insert,11.732,-1.0,-1.0,1332.83,2.00801,1102
112,search,6122.51,0.91542,0.110197,1323.44,2.00872,1106
113,insert,5.782,-1.0,-1.0,8.88,2.0138,1106
114,search,6141.48,0.91557,0.109872,8.942,2.0138,1106
115,insert,19.666,-1.0,-1.0,1229.71,2.02434,1107
116,search,6104.92,0.91617,0.10951,9.044,2.02434,1107
117,insert,8.674,-1.0,-1.0,8.446,2.03136,1107
118,search,6172.57,0.91634,0.108783,8.799,2.03136,1107
119,insert,1.936,-1.0,-1.0,1244.46,2.03269,1108
120,search,6162.88,0.91626,0.108889,8.647,2.03269,1108
121,insert,8.075,-1.0,-1.0,1238.1,2.03781,1109
122,search,6233.4,0.91638,0.108866,8.607,2.03781,1109
123,insert,153.082,-1.0,-1.0,2143.24,2.15911,1131
124,search,6420.27,0.91807,0.108131,1547.03,2.15856,1139
125,insert,26.847,-1.0,-1.0,1583.11,2.17651,1144
126,search,6462.16,0.91834,0.108179,1470.62,2.17642,1149
127,insert,25.268,-1.0,-1.0,1513.76,2.19856,1153
128,search,6399.86,0.91892,0.107972,3.87,2.19856,1153
129,delete,18.062,-1.0,-1.0,3.497,2.19773,1153
130,search,6444.74,0.9189,0.107963,3.876,2.19773,1153
131,delete,4.565,-1.0,-1.0,3.408,2.19771,1153
132,search,6383.23,0.91877,0.10812,3.772,2.19771,1153
133,delete,11.167,-1.0,-1.0,3.341,2.19771,1153
134,search,6483.82,0.91888,0.108127,4.116,2.19771,1153
135,delete,14.501,-1.0,-1.0,3.386,2.1966,1153
136,search,6469.52,0.92072,0.106066,3.73,2.1966,1153
137,delete,2.634,-1.0,-1.0,3.742,2.1966,1153
138,search,6475.9,0.92067,0.106148,3.546,2.1966,1153
139,delete,5.285,-1.0,-1.0,3.357,2.19476,1153
140,search,6483.8,0.92076,0.106168,3.72,2.19476,1153
141,delete,12.969,-1.0,-1.0,3.371,2.19209,1153
142,search,6375.5,0.92063,0.10625,3.822,2.19209,1153
143,delete,9.447,-1.0,-1.0,3.507,2.19094,1153
144,search,6353.47,0.92101,0.105893,3.852,2.19094,1153
145,delete,1.08,-1.0,-1.0,3.494,2.18996,1153
146,search,6277.37,0.92074,0.105992,3.957,2.18996,1153
147,delete,4.924,-1.0,-1.0,3.46,2.18996,1153
148,search,6196.31,0.92095,0.105987,4.169,2.18996,1153
149,delete,116.567,-1.0,-1.0,4.018,2.15109,1153
150,search,6173.55,0.92505,0.102518,3.965,2.15109,1153
151,delete,99.398,-1.0,-1.0,3.947,2.11278,1153
152,search,6065.52,0.92496,0.102772,4.007,2.11278,1153
153,delete,25.863,-1.0,-1.0,3.64,2.09877,1153
154,search,6035.93,0.92453,0.10304,3.883,2.09877,1153
155,delete,16.222,-1.0,-1.0,3.569,2.09375,1153
156,search,6064.41,0.92446,0.102959,4.155,2.09375,1153
157,delete,29.56,-1.0,-1.0,3.696,2.08025,1153
158,search,5924.03,0.92418,0.103226,4.068,2.08025,1153
159,delete,172.126,-1.0,-1.0,4.003,1.96092,1153
160,search,5785.15,0.92396,0.103193,3.961,1.96092,1153
161,delete,27.567,-1.0,-1.0,3.837,1.94874,1153
162,search,5698.39,0.92407,0.102953,4.005,1.94874,1153
163,delete,14.272,-1.0,-1.0,3.92,1.94086,1153
164,search,5659.06,0.92373,0.103241,3.915,1.94086,1153
165,delete,18.949,-1.0,-1.0,3.666,1.9336,1153
166,search,5626.15,0.92353,0.103286,4.16,1.9336,1153
167,delete,4.409,-1.0,-1.0,3.66,1.93146,1153
168,search,5551.9,0.92352,0.103261,3.884,1.93146,1153
169,delete,9.558,-1.0,-1.0,3.691,1.92459,1153
170,search,5584.82,0.9232,0.103599,4.065,1.92459,1153
171,delete,11.274,-1.0,-1.0,3.64,1.92018,1153
172,search,5505.71,0.92309,0.103802,4.301,1.92018,1153
173,delete,31.303,-1.0,-1.0,3.813,1.9063,1153
174,search,5489.1,0.92229,0.104104,4.112,1.9063,1153
175,delete,105.432,-1.0,-1.0,3.971,1.83547,1153
176,search,5490.7,0.92253,0.104055,4.076,1.83547,1153
177,delete,15.187,-1.0,-1.0,3.74,1.82813,1153
178,search,5503.23,0.92231,0.104239,4.169,1.82813,1153
179,delete,143.969,-1.0,-1.0,4.117,1.72375,1153
180,search,5271.7,0.92058,0.105481,4.099,1.72375,1153
181,delete,20.913,-1.0,-1.0,3.865,1.71111,1153
182,search,5206,0.92036,0.105689,4.261,1.71111,1153
183,delete,100.301,-1.0,-1.0,3.986,1.63978,1153
184,search,4974.46,0.91493,0.109643,4.182,1.63978,1153
185,delete,6.688,-1.0,-1.0,3.826,1.63574,1153
186,search,5002.32,0.91506,0.109521,4.037,1.63574,1153
187,delete,109.541,-1.0,-1.0,4.053,1.54781,1153
188,search,4915.33,0.91745,0.107188,4.023,1.54781,1153
189,delete,7.404,-1.0,-1.0,3.579,1.54396,1153
190,search,4974.13,0.91742,0.107249,4.184,1.54396,1153
191,delete,2.242,-1.0,-1.0,3.624,1.54259,1153
192,search,4918.8,0.91745,0.1073,4.193,1.54259,1153
193,delete,36.596,-1.0,-1.0,3.98,1.51623,1153
194,search,4824.22,0.91538,0.108643,4.066,1.51623,1153
195,delete,19.516,-1.0,-1.0,3.799,1.50287,1153
196,search,4744.93,0.91433,0.109036,4.189,1.50287,1153
197,delete,21.643,-1.0,-1.0,3.958,1.48945,1153
198,search,4716.06,0.91383,0.10949,4.449,1.48945,1153
199,delete,17.216,-1.0,-1.0,3.661,1.48184,1153
200,search,4718.11,0.91339,0.109848,4.002,1.48184,1153
201,delete,5.336,-1.0,-1.0,3.802,1.47975,1153
202,search,4777.82,0.91323,0.109906,4.074,1.47975,1153
203,delete,12.722,-1.0,-1.0,3.541,1.4732,1153
204,search,4731.87,0.91295,0.110299,4.254,1.4732,1153
205,delete,20.778,-1.0,-1.0,3.843,1.46154,1153
206,search,4731.49,0.91351,0.10985,3.961,1.46154,1153
207,delete,31.372,-1.0,-1.0,4.034,1.44092,1153
208,search,4707.48,0.91391,0.109435,4.22,1.44092,1153
209,delete,19.623,-1.0,-1.0,3.562,1.43141,1153
210,search,4630.42,0.91333,0.109776,4.093,1.43141,1153
211,delete,6.917,-1.0,-1.0,3.931,1.42706,1153
212,search,4586.97,0.91312,0.109949,4.245,1.42706,1153
213,delete,12.798,-1.0,-1.0,3.483,1.41816,1153
214,search,4676.84,0.91272,0.1102,4.19,1.41816,1153
215,delete,199.513,-1.0,-1.0,3.981,1.26588,1153
216,search,4289.06,0.90663,0.114276,4.034,1.26588,1153
217,delete,139.719,-1.0,-1.0,3.927,1.16612,1153
218,search,4132.07,0.90328,0.116867,4,1.16612,1153
219,delete,15.351,-1.0,-1.0,3.696,1.15474,1153
220,search,4048.89,0.90155,0.118081,3.932,1.15474,1153
221,delete,123.581,-1.0,-1.0,4.231,1.0544,1153
222,search,3947.95,0.90218,0.118364,3.88,1.0544,1153
223,delete,7.825,-1.0,-1.0,3.438,1.04891,1153
224,search,3919.35,0.90061,0.119375,4.146,1.04891,1153
225,delete,3.973,-1.0,-1.0,3.474,1.04662,1153
226,search,3917.33,0.90058,0.119389,3.921,1.04662,1153
227,delete,2.636,-1.0,-1.0,3.582,1.04476,1153
228,search,3935.56,0.90036,0.119487,4.563,1.04476,1153
229,delete,31.558,-1.0,-1.0,3.643,1.03179,1153
230,search,3951.54,0.89919,0.120048,4.035,1.03179,1153
231,delete,10.124,-1.0,-1.0,3.516,1.02612,1153
232,search,3909.12,0.89799,0.120694,4.35,1.02612,1153
233,delete,5.38,-1.0,-1.0,3.452,1.02388,1153
234,search,3891.82,0.89777,0.120781,4.309,1.02388,1153
235,delete,8.405,-1.0,-1.0,3.569,1.02006,1153
236,search,3883.39,0.89786,0.120734,3.899,1.02006,1153
237,delete,151.855,-1.0,-1.0,4.116,0.910563,1153
238,search,3741.91,0.8962,0.121527,4.095,0.910563,1153
239,delete,15.389,-1.0,-1.0,3.978,0.89924,1153
240,search,3691.3,0.89493,0.121918,4.134,0.89924,1153
241,delete,7.364,-1.0,-1.0,3.8,0.895275,1153
242,search,3620.58,0.89419,0.122376,4.14,0.895275,1153
243,delete,15.819,-1.0,-1.0,3.844,0.883871,1153
244,search,3694.01,0.89262,0.12356,4.144,0.883871,1153
245,delete,8.208,-1.0,-1.0,3.556,0.879081,1153
246,search,3659.78,0.89229,0.123617,3.943,0.879081,1153
247,delete,2.513,-1.0,-1.0,3.514,0.8774,1153
248,search,3628.32,0.89203,0.123873,4.02,0.8774,1153
249,delete,5.582,-1.0,-1.0,3.748,0.872927,1153
250,search,3639.07,0.89155,0.124305,4.07,0.872927,1153
251,delete,150.946,-1.0,-1.0,3.911,0.760005,1153
252,search,3503.98,0.89232,0.122071,4.142,0.760005,1153
253,delete,19.236,-1.0,-1.0,3.661,0.744569,1153
254,search,3434.89,0.89072,0.123222,4.109,0.744569,1153
255,delete,23.618,-1.0,-1.0,3.785,0.725047,1153
256,search,3430.3,0.88815,0.124611,4.071,0.725047,1153
257,insert,5.522,-1.0,-1.0,3.491,0.726133,1153
258,search,3422.48,0.88804,0.124748,3.863,0.726133,1153
259,insert,16.065,-1.0,-1.0,3.846,0.732707,1153
260,search,3439.03,0.88908,0.12451,4.072,0.732707,1153
261,insert,1.972,-1.0,-1.0,3.489,0.732774,1153
262,search,3418.14,0.88963,0.124277,3.994,0.732774,1153
263,insert,83.462,-1.0,-1.0,804.713,0.77496,1154
264,search,3586.01,0.89422,0.122164,746.743,0.776675,1156
265,insert,41.376,-1.0,-1.0,664,0.792917,1158
266,search,3637.9,0.89566,0.121119,580,0.79357,1162
267,insert,15.512,-1.0,-1.0,511.373,0.804373,1165
268,search,3625.73,0.89722,0.120483,550.332,0.804867,1166
269,insert,161.238,-1.0,-1.0,952.831,0.889974,1169
270,search,3956.57,0.8995,0.119162,938.492,0.890233,1171
271,insert,3.068,-1.0,-1.0,799.571,0.8918,1172
272,search,3835.65,0.89919,0.119464,796.361,0.892792,1176
273,insert,12.437,-1.0,-1.0,633.129,0.900367,1177
274,search,3843.86,0.89992,0.119355,686.219,0.900117,1182
275,insert,225.914,-1.0,-1.0,1173.93,1.05151,1195
276,search,4166.73,0.90099,0.120155,1025.88,1.05295,1204
277,insert,20.736,-1.0,-1.0,755.166,1.06493,1205
278,search,4698.92,0.90301,0.118091,828.311,1.06402,1215
279,insert,14.709,-1.0,-1.0,3.992,1.07443,1215
280,search,4165.15,0.90408,0.117383,4.084,1.07443,1215
281,insert,204.643,-1.0,-1.0,1128.67,1.20099,1218
282,search,4299.96,0.9058,0.117827,4.197,1.20099,1218
283,insert,253.001,-1.0,-1.0,1266.41,1.38004,1229
284,search,4756.58,0.90979,0.113743,1189.43,1.38021,1240
285,insert,7.992,-1.0,-1.0,1230.74,1.38999,1242
286,search,4763.79,0.90991,0.113537,1157.73,1.38867,1246
287,insert,22.759,-1.0,-1.0,1175.87,1.40193,1248
288,search,4746.14,0.9102,0.113198,1170.24,1.40302,1251
289,insert,163.72,-1.0,-1.0,1658.13,1.53253,1271
290,search,4991.18,0.91291,0.112043,1511.82,1.53292,1288
291,insert,12.48,-1.0,-1.0,1132.97,1.54126,1289
292,search,5074.16,0.91458,0.110165,986.55,1.54166,1291
293,insert,9.028,-1.0,-1.0,946.037,1.54987,1292
294,search,4976.03,0.91436,0.1107,3.936,1.54987,1292
295,insert,135.674,-1.0,-1.0,1281.81,1.63765,1296
296,search,5154.35,0.91618,0.110061,1228.32,1.63729,1297
297,insert,2.566,-1.0,-1.0,1224.61,1.63849,1298
298,search,5128.09,0.91607,0.11029,1237.42,1.63783,1300
299,insert,40.869,-1.0,-1.0,4.58,1.66244,1300
300,search,5221.84,0.91928,0.107226,1236.41,1.66334,1301
301,insert,342.361,-1.0,-1.0,2219.76,1.9198,1330
302,search,5949.96,0.93459,0.0944572,1963.29,1.92088,1348
303,insert,30.827,-1.0,-1.0,4.143,1.94289,1348
304,search,5897.76,0.93404,0.0949337,3.926,1.94289,1348
305,insert,189.113,-1.0,-1.0,1823.75,2.10613,1357
306,search,6193.41,0.93516,0.0947539,1749.5,2.10772,1367
307,insert,15.094,-1.0,-1.0,1561.69,2.11762,1370
308,search,6145.15,0.93549,0.0941362,1690.04,2.11715,1384
309,insert,4.601,-1.0,-1.0,1372.15,2.12031,1385
310,search,6245.96,0.93578,0.0939642,1411.44,2.11805,1388
311,insert,6.952,-1.0,-1.0,4.377,2.12375,1388
312,search,6145.32,0.93554,0.0942885,4.247,2.12375,1388
313,insert,19.971,-1.0,-1.0,1370.89,2.1401,1389
314,search,6205.67,0.93585,0.0941606,4.252,2.1401,1389
315,insert,4.039,-1.0,-1.0,3.997,2.14185,1389
316,search,6419.22,0.93569,0.094371,4.699,2.14185,1389
317,insert,28.355,-1.0,-1.0,1478.38,2.15897,1394
318,search,9048.61,0.93606,0.0941628,6.876,2.15897,1394
319,insert,393.965,-1.0,-1.0,4162.67,2.37779,1429
320,search,6079.68,0.93679,0.0933401,1922.31,2.37782,1442
321,insert,26.174,-1.0,-1.0,1705.65,2.39405,1447
322,search,5993.44,0.93659,0.093449,1691.63,2.39595,1449
323,insert,56.318,-1.0,-1.0,1752.1,2.44048,1456
324,search,6670.65,0.93745,0.0928764,1588.98,2.44089,1460
325,insert,1009.93,-1.0,-1.0,2742.26,2.6558,1478
326,search,7103.15,0.93947,0.0913953,2145.77,2.65662,1493
327,insert,37.145,-1.0,-1.0,1918.03,2.68409,1498
328,search,7141.57,0.93954,0.0911321,2061.45,2.68614,1520
329,insert,5.497,-1.0,-1.0,1620.05,2.69066,1521
330,search,7159.38,0.93986,0.0908158,1876.56,2.69134,1531
331,insert,29.237,-1.0,-1.0,1705.85,2.71106,1534
332,search,7165.61,0.93955,0.0915084,1662.81,2.71149,1535
333,insert,2.349,-1.0,-1.0,5.757,2.71295,1535
334,search,7256.15,0.93952,0.0914037,6.233,2.71295,1535
335,insert,24.585,-1.0,-1.0,1738.52,2.72987,1538
336,search,7283.3,0.93955,0.0912567,6.064,2.72987,1538
337,insert,15.998,-1.0,-1.0,6.016,2.73887,1538
338,search,7107.19,0.93988,0.0908077,6.136,2.73887,1538
339,insert,32.76,-1.0,-1.0,1668.07,2.75751,1539
340,search,7176.39,0.94001,0.0906378,5.981,2.75751,1539
341,insert,3.654,-1.0,-1.0,1757.29,2.76077,1540
342,search,7197.71,0.94023,0.0905341,1742.13,2.7606,1543
343,insert,15.744,-1.0,-1.0,1743.88,2.77506,1545
344,search,7259.57,0.94017,0.0907631,1699.47,2.77449,1547
345,insert,20.238,-1.0,-1.0,1742.3,2.78993,1549
346,search,7189.16,0.94045,0.0906642,6.579,2.78993,1549
347,insert,255.264,-1.0,-1.0,4444.04,2.99918,1601
348,search,7619.72,0.94147,0.0891616,2549.61,2.99675,1619
349,insert,25.204,-1.0,-1.0,1930.91,3.01304,1622
350,search,7594.81,0.9419,0.0885028,7.97,3.01304,1622
351,insert,249.628,-1.0,-1.0,3884.1,3.19111,1646
352,search,7823.16,0.94124,0.0893777,2516.78,3.19011,1657
353,insert,39.868,-1.0,-1.0,2175.3,3.21129,1662
354,search,7841.26,0.94155,0.0893639,2356.58,3.21083,1671
355,insert,255.809,-1.0,-1.0,3238.49,3.36661,1696
356,search,8157,0.94353,0.0873895,2757.86,3.3669,1709
357,insert,16.516,-1.0,-1.0,2141.51,3.37405,1710
358,search,8196.74,0.94368,0.0871058,2172.97,3.37399,1711
359,insert,6.28,-1.0,-1.0,8.941,3.37673,1711
360,search,8182.95,0.9436,0.087212,9.329,3.37673,1711
361,insert,39.374,-1.0,-1.0,2239.98,3.40689,1714
362,search,8288.73,0.94414,0.0865814,9.074,3.40689,1714
363,insert,13.072,-1.0,-1.0,2209.23,3.41321,1715
364,search,8192.05,0.94422,0.0865552,9.536,3.41321,1715
365,insert,33.758,-1.0,-1.0,2251.66,3.43765,1717
366,search,8231.47,0.94443,0.0862566,9.19,3.43765,1717
367,insert,17.864,-1.0,-1.0,2237.19,3.45043,1720
368,search,8278.38,0.94442,0.0862554,9.113,3.45043,1720
369,insert,37.219,-1.0,-1.0,2301.8,3.4769,1723
370,search,8188.26,0.94504,0.0854552,9.068,3.4769,1723
371,insert,7.427,-1.0,-1.0,8.598,3.48077,1723
372,search,7991.94,0.94476,0.0857052,9.132,3.48077,1723
373,insert,33.404,-1.0,-1.0,2369.08,3.49968,1727
374,search,8239.68,0.94514,0.0849398,8.932,3.49968,1727
375,insert,22.641,-1.0,-1.0,2266.81,3.51311,1728
376,search,8128.52,0.94516,0.0849293,8.904,3.51311,1728
377,insert,38.792,-1.0,-1.0,2496.63,3.54356,1735
378,search,8106.28,0.94565,0.084695,2304.79,3.54381,1736
379,insert,4.017,-1.0,-1.0,8.91,3.54592,1736
380,search,8186.97,0.94542,0.0848749,9.557,3.54592,1736
381,insert,14.016,-1.0,-1.0,2346.47,3.5531,1738
382,search,8403.18,0.94568,0.0846151,9.314,3.5531,1738
383,insert,20.972,-1.0,-1.0,2439.98,3.56668,1743
384,search,8430.89,0.94555,0.0847045,9.121,3.56668,1743
385,delete,8.564,-1.0,-1.0,8.754,3.56653,1743
386,search,8461.71,0.94561,0.0847053,8.891,3.56653,1743
387,delete,11.953,-1.0,-1.0,8.658,3.56565,1743
388,search,8441.58,0.94572,0.0847462,8.768,3.56565,1743
389,delete,11.388,-1.0,-1.0,8.617,3.56441,1743
390,search,8337.02,0.94547,0.0850283,9,3.56441,1743
391,delete,48.96,-1.0,-1.0,8.779,3.54212,1743
392,search,8217.54,0.94531,0.0852318,9.452,3.54212,1743
393,delete,35.803,-1.0,-1.0,9.08,3.54039,1743
394,search,8132.38,0.9451,0.0853607,9.538,3.54039,1743
395,delete,23.113,-1.0,-1.0,8.799,3.53324,1743
396,search,8170.82,0.94486,0.0856316,9.218,3.53324,1743
397,delete,84.115,-1.0,-1.0,8.864,3.50095,1743
398,search,8167.56,0.94499,0.0855088,9.068,3.50095,1743
399,delete,3.86,-1.0,-1.0,9.159,3.50051,1743
400,search,8188.63,0.94505,0.0854564,9.004,3.50051,1743
401,delete,11.824,-1.0,-1.0,8.569,3.49808,1743
402,search,8171.72,0.94511,0.0854112,9.037,3.49808,1743
403,delete,185.28,-1.0,-1.0,9.08,3.41189,1743
404,search,8066.22,0.94477,0.0858122,8.948,3.41189,1743
405,delete,33.028,-1.0,-1.0,8.793,3.40359,1743
406,search,7962.33,0.9457,0.0849701,9.02,3.40359,1743
407,delete,57.118,-1.0,-1.0,9.011,3.38102,1743
408,search,7736.92,0.94591,0.0847342,9.359,3.38102,1743
409,delete,129.271,-1.0,-1.0,9.086,3.29733,1743
410,search,7783.45,0.94611,0.0845069,9.489,3.29733,1743
411,delete,169.371,-1.0,-1.0,9.425,3.22559,1743
412,search,7569.65,0.94508,0.0851739,9.053,3.22559,1743
413,delete,15.871,-1.0,-1.0,8.689,3.22075,1743
414,search,7633.09,0.94494,0.0852703,9.107,3.22075,1743
415,delete,50.014,-1.0,-1.0,8.974,3.20189,1743
416,search,7564.91,0.94486,0.0853977,9.053,3.20189,1743
417,delete,125.898,-1.0,-1.0,8.928,3.13551,1743
418,search,7473.87,0.94499,0.0851689,9.02,3.13551,1743
419,delete,16.642,-1.0,-1.0,8.621,3.13185,1743
420,search,7446.49,0.94476,0.0854248,8.919,3.13185,1743
421,delete,13.671,-1.0,-1.0,8.654,3.12316,1743
422,search,7414.94,0.94473,0.085468,8.847,3.12316,1743
423,delete,90.278,-1.0,-1.0,8.913,3.05712,1743
424,search,7308.5,0.94484,0.0849506,9.036,3.05712,1743
425,delete,16.508,-1.0,-1.0,8.582,3.05061,1743
426,search,7247.53,0.94486,0.0850221,9.53,3.05061,1743
427,delete,46.729,-1.0,-1.0,8.757,3.04079,1743
428,search,7225.04,0.94413,0.0860246,9.381,3.04079,1743
429,delete,293.791,-1.0,-1.0,9.154,2.88888,1743
430,search,6833.66,0.938,0.0915924,9.24,2.88888,1743
431,delete,65.129,-1.0,-1.0,8.971,2.85156,1743
432,search,6812.9,0.93821,0.0915828,9.11,2.85156,1743
433,delete,137.132,-1.0,-1.0,8.864,2.77189,1743
434,search,6720.24,0.93767,0.0916961,9.095,2.77189,1743
435,delete,77.132,-1.0,-1.0,9.056,2.72036,1743
436,search,6633.73,0.937,0.0925581,9.081,2.72036,1743
437,delete,10.144,-1.0,-1.0,8.645,2.71365,1743
438,search,6637.8,0.93698,0.0926248,9.126,2.71365,1743
439,delete,70.767,-1.0,-1.0,8.921,2.65888,1743
440,search,6568.08,0.93669,0.0929047,9.081,2.65888,1743
441,delete,19.925,-1.0,-1.0,8.767,2.6466,1743
442,search,6531.15,0.93662,0.0927499,8.931,2.6466,1743
443,delete,17.557,-1.0,-1.0,8.776,2.63339,1743
444,search,6494.21,0.93692,0.092521,8.908,2.63339,1743
445,delete,29.027,-1.0,-1.0,8.56,2.61487,1743
446,search,6387.8,0.93694,0.0923465,9.129,2.61487,1743
