step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,1212.99,0.57318,0.215132,0.692,0.0183457
3,insert,12.785,-1.0,-1.0,0.0,0.0223845
4,search,886.228,0.58479,0.214352,0.713,0.0223845
5,insert,28.288,-1.0,-1.0,0.0,0.032811
6,search,921.25,0.6501,0.234824,52.991,0.0331737
7,insert,31.242,-1.0,-1.0,0.0,0.0421803
8,search,938.611,0.71684,0.210044,138.231,0.0421803
9,insert,9.044,-1.0,-1.0,0.0,0.044432
10,search,923.082,0.72108,0.207619,140.308,0.044432
11,insert,51.868,-1.0,-1.0,0.0,0.0500424
12,search,950.845,0.7306,0.208018,180.701,0.0500424
13,insert,33.462,-1.0,-1.0,0.0,0.0608618
14,search,962.175,0.72104,0.210593,319.951,0.0609393
15,insert,22.704,-1.0,-1.0,0.0,0.0695069
16,search,983.141,0.73115,0.202415,298.381,0.0693388
17,insert,4.653,-1.0,-1.0,0.0,0.0717288
18,search,966.999,0.73309,0.205165,305.028,0.0708937
19,insert,43.22,-1.0,-1.0,0.0,0.0785575
20,search,990.416,0.74476,0.195827,132.452,0.0786428
21,insert,444.208,-1.0,-1.0,0.0,0.197663
22,search,1275.96,0.7618,0.184556,483.58,0.196977
23,insert,373.099,-1.0,-1.0,0.0,0.3222
24,search,1701.5,0.74563,0.192421,1089,0.321832
25,insert,66.437,-1.0,-1.0,0.0,0.342217
26,search,1452.44,0.69651,0.207331,861.978,0.342148
27,insert,44.298,-1.0,-1.0,0.0,0.353195
28,search,1261.29,0.6582,0.217089,585.985,0.352812
29,insert,93.125,-1.0,-1.0,0.0,0.379974
30,search,1289.35,0.66812,0.215953,427.994,0.379034
