nprobe_percentage,step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
0.05,19,insert,43.227,-1.0,-1.0,0.0,0.0777236
0.05,20,search,980.94,0.66183,0.207236,107.451,0.0778476
0.05,21,insert,436.254,-1.0,-1.0,0.0,0.19668
0.05,22,search,1111.29,0.66877,0.204296,647.443,0.197373
0.05,23,insert,465.031,-1.0,-1.0,0.0,0.322176
0.05,24,search,1292.01,0.66837,0.211075,1741.07,0.321703
0.05,25,insert,60.136,-1.0,-1.0,0.0,0.340587
0.05,26,search,1254.09,0.65783,0.212576,1092.91,0.341108
0.05,27,insert,37.104,-1.0,-1.0,0.0,0.352858
0.05,28,search,1292.64,0.64663,0.217334,418.027,0.353109
0.05,29,insert,74.381,-1.0,-1.0,0.0,0.380256
0.05,30,search,1330.56,0.65813,0.218309,463.928,0.379752
0.05,31,insert,509.231,-1.0,-1.0,0.0,0.543361
0.05,32,search,1471.14,0.67277,0.212932,2205.56,0.541713
0.05,33,insert,80.149,-1.0,-1.0,0.0,0.565231
0.05,34,search,1506.85,0.67319,0.213557,1278.65,0.564945
0.05,35,insert,56.656,-1.0,-1.0,0.0,0.579606
0.05,36,search,1553.2,0.67518,0.212154,677.093,0.58035
0.05,37,insert,71.806,-1.0,-1.0,0.0,0.600103
0.05,38,search,1503.15,0.67436,0.212779,569.918,0.60058
0.05,39,insert,17.578,-1.0,-1.0,0.0,0.604429
0.05,40,search,1557.93,0.67903,0.211491,580.324,0.604298
0.05,41,insert,62.367,-1.0,-1.0,0.0,0.618968
0.05,42,search,1562.6,0.68094,0.211189,591.22,0.619109
0.05,43,insert,14.838,-1.0,-1.0,0.0,0.623476
0.05,44,search,1556.9,0.68053,0.21106,554.277,0.623353
0.05,45,insert,329.092,-1.0,-1.0,0.0,0.638415
0.05,46,search,1579.89,0.6852,0.208619,771.378,0.638332
0.05,47,insert,390.783,-1.0,-1.0,0.0,0.738241
0.05,48,search,1647.03,0.69248,0.210438,2014.49,0.73931
0.05,49,insert,51.919,-1.0,-1.0,0.0,0.755075
0.05,50,search,1675.36,0.69756,0.210277,1202.83,0.754351
0.05,51,insert,439.798,-1.0,-1.0,0.0,0.89089
0.05,52,search,1802.96,0.71888,0.202166,2914.9,0.891649
0.05,53,insert,77.632,-1.0,-1.0,0.0,0.910222
0.05,54,search,1833.91,0.71722,0.203346,1733.88,0.909768
0.05,55,insert,514.027,-1.0,-1.0,0.0,1.05108
0.05,56,search,2007.24,0.72905,0.198304,3672.65,1.05279
0.05,57,insert,46.932,-1.0,-1.0,0.0,1.06139
0.05,58,search,2029.71,0.727,0.201542,1590.45,1.06143
0.05,59,insert,396.714,-1.0,-1.0,0.0,1.16002
0.05,60,search,2092.94,0.72834,0.200396,2874.41,1.15954
0.05,61,insert,16.747,-1.0,-1.0,0.0,1.16378
0.05,62,search,2117.1,0.72832,0.202387,1294.25,1.1643
0.05,63,insert,5.294,-1.0,-1.0,0.0,1.16583
0.05,64,search,2083.26,0.72744,0.202948,1085.3,1.16577
0.05,65,insert,121.655,-1.0,-1.0,0.0,1.19376
0.05,66,search,2098.21,0.73114,0.200981,1733.55,1.19402
0.05,67,insert,77.98,-1.0,-1.0,0.0,1.21405
0.05,68,search,2133.03,0.7319,0.201766,1337.2,1.21443
0.05,69,insert,104.974,-1.0,-1.0,0.0,1.23907
0.05,70,search,2162.73,0.7349,0.19997,1478.22,1.23874
0.05,71,insert,30.169,-1.0,-1.0,0.0,1.24509
0.05,72,search,2176.96,0.73663,0.199247,1336.89,1.24488
0.05,73,insert,11.745,-1.0,-1.0,0.0,1.24772
0.05,74,search,2173.75,0.73605,0.199683,1256.81,1.24713
0.05,75,insert,42.752,-1.0,-1.0,0.0,1.25569
0.05,76,search,2166.39,0.73624,0.199625,1154.5,1.25562
0.05,77,insert,65.676,-1.0,-1.0,0.0,1.26691
0.05,78,search,2193.8,0.73787,0.199184,1334.75,1.26651
0.05,79,insert,731.339,-1.0,-1.0,0.0,1.29381
0.05,80,search,2226.37,0.73819,0.199011,1374.44,1.29427
0.05,81,insert,68.476,-1.0,-1.0,0.0,1.30619
0.05,82,search,2195.05,0.73885,0.198969,1359.59,1.30595
0.05,83,insert,24.227,-1.0,-1.0,0.0,1.31218
0.05,84,search,2232.82,0.74189,0.198012,1483.14,1.31255
0.05,85,insert,81.791,-1.0,-1.0,0.0,1.32874
0.05,86,search,2231.11,0.74257,0.198453,1423.25,1.32888
0.05,87,insert,864.217,-1.0,-1.0,0.0,1.51901
0.05,88,search,2377.17,0.75453,0.192191,6519.5,1.51873
0.05,89,insert,742.049,-1.0,-1.0,0.0,1.67991
0.05,90,search,2562.91,0.76709,0.186772,7774.15,1.68172
0.05,91,insert,55.429,-1.0,-1.0,0.0,1.69436
0.05,92,search,2637.16,0.76887,0.187009,2934.89,1.69398
0.05,93,insert,616.954,-1.0,-1.0,0.0,1.80045
0.05,94,search,2733.78,0.77007,0.187019,3484.94,1.79943
0.05,95,insert,32.713,-1.0,-1.0,0.0,1.80629
0.05,96,search,2617.49,0.77078,0.186384,2182.06,1.80663
0.05,97,insert,18.348,-1.0,-1.0,0.0,1.81046
0.05,98,search,2708.34,0.7717,0.185967,1766.49,1.81038
0.05,99,insert,9.343,-1.0,-1.0,0.0,1.81222
0.05,100,search,2689.76,0.77161,0.186039,1855.31,1.81215
0.05,101,insert,71.056,-1.0,-1.0,0.0,1.82496
0.05,102,search,2711.99,0.77238,0.185916,2003.62,1.82586
