nprobe_percentage,step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
0.95,86,search,124109,0.99998,0.00141406,1885.07,1.32967
0.95,87,insert,1438.99,-1.0,-1.0,0.0,1.52354
0.95,88,search,125005,0.99998,0.00141406,22528.9,1.52442
0.95,89,insert,1336.56,-1.0,-1.0,0.0,1.68435
0.95,90,search,139715,0.99998,0.00141406,26890.2,1.68461
0.95,91,insert,144.186,-1.0,-1.0,0.0,1.69942
0.95,92,search,150429,0.99998,0.00141406,8889.88,1.69942
0.95,93,insert,981.427,-1.0,-1.0,0.0,1.80371
0.95,94,search,161753,0.99998,0.00141406,12834.3,1.8043
0.95,95,insert,67.921,-1.0,-1.0,0.0,1.8114
0.95,96,search,163073,0.99998,0.00141406,3668.88,1.81084
0.95,97,insert,47.185,-1.0,-1.0,0.0,1.81493
0.95,98,search,165485,0.99998,0.00141406,2184.61,1.81487
0.95,99,insert,26.804,-1.0,-1.0,0.0,1.81702
0.95,100,search,168676,0.99998,0.00141406,1852.2,1.81694
0.95,101,insert,151.763,-1.0,-1.0,0.0,1.8304
0.95,102,search,168870,0.99998,0.00141406,2254.32,1.83048
0.75,2,search,5157.84,0.99611,0.0205396,4.12,0.0183461
0.75,3,insert,10.416,-1.0,-1.0,0.0,0.0223849
0.75,4,search,5089.6,0.99683,0.0182473,14.831,0.0224592
0.75,5,insert,28.874,-1.0,-1.0,0.0,0.0330443
0.75,6,search,6423.46,0.99815,0.0139859,80.202,0.0330488
0.75,7,insert,38.547,-1.0,-1.0,0.0,0.0423284
0.75,8,search,6743.25,0.99799,0.0152642,165.47,0.0423373
0.75,9,insert,4.934,-1.0,-1.0,0.0,0.0440534
0.75,10,search,6821.04,0.99836,0.0137604,176.435,0.0441281
0.75,11,insert,14.41,-1.0,-1.0,0.0,0.0493398
0.75,12,search,7128.61,0.99831,0.0137901,212.535,0.0492244
0.75,13,insert,32.583,-1.0,-1.0,0.0,0.0603089
0.75,14,search,7527.01,0.99826,0.0142469,305.35,0.0604427
0.75,15,insert,26.629,-1.0,-1.0,0.0,0.0689651
0.75,16,search,8143.18,0.99834,0.0138294,395.425,0.0691254
0.75,17,insert,5.546,-1.0,-1.0,0.0,0.0712429
0.75,18,search,8802.48,0.99803,0.0152036,325.553,0.0712246
0.75,19,insert,49.576,-1.0,-1.0,0.0,0.0779957
0.75,20,search,9656.65,0.99806,0.0150428,311.335,0.0781646
0.75,21,insert,439.031,-1.0,-1.0,0.0,0.196456
0.75,22,search,10409,0.99791,0.0147873,1713.58,0.197361
0.75,23,insert,483.914,-1.0,-1.0,0.0,0.322766
0.75,24,search,13379.4,0.99769,0.0158647,3672.3,0.322244
0.75,25,insert,77.429,-1.0,-1.0,0.0,0.341349
0.75,26,search,17662.1,0.99646,0.0195844,3312.01,0.341526
0.75,27,insert,42.537,-1.0,-1.0,0.0,0.353945
0.75,28,search,18012.2,0.99603,0.0206218,2834.92,0.354809
0.75,29,insert,102.539,-1.0,-1.0,0.0,0.381047
0.75,30,search,27281.3,0.9965,0.0191771,2427.6,0.380739
0.75,31,insert,750.721,-1.0,-1.0,0.0,0.544619
0.75,32,search,32840.1,0.99652,0.0199991,6297.19,0.544806
0.75,33,insert,115.726,-1.0,-1.0,0.0,0.567317
0.75,34,search,37795.2,0.99658,0.0196043,4852.08,0.56763
0.75,35,insert,95.92,-1.0,-1.0,0.0,0.582627
0.75,36,search,44984.2,0.99717,0.0173504,2718.8,0.582984
0.75,37,insert,128.757,-1.0,-1.0,0.0,0.602918
0.75,38,search,45879.6,0.99748,0.0161148,2016.51,0.60316
0.75,39,insert,18.148,-1.0,-1.0,0.0,0.60627
0.75,40,search,47197.9,0.99751,0.0160257,899.167,0.606519
0.75,41,insert,120.724,-1.0,-1.0,0.0,0.621033
0.75,42,search,48070.4,0.99759,0.0157864,970.479,0.621073
0.75,43,insert,35.92,-1.0,-1.0,0.0,0.625271
0.75,44,search,48729.8,0.99776,0.0149999,652.129,0.625482
0.75,45,insert,405.013,-1.0,-1.0,0.0,0.64049
0.75,46,search,48826.9,0.9978,0.0149397,1114.44,0.641175
0.75,47,insert,665.631,-1.0,-1.0,0.0,0.741888
0.75,48,search,50664.9,0.99803,0.0141125,3839.29,0.742245
0.75,49,insert,87.116,-1.0,-1.0,0.0,0.757267
0.75,50,search,53813.6,0.99807,0.0141165,1918.33,0.757701
0.75,51,insert,838.734,-1.0,-1.0,0.0,0.894337
0.75,52,search,56850.5,0.99826,0.0134527,10541.5,0.894381
0.75,53,insert,132.188,-1.0,-1.0,0.0,0.914297
0.75,54,search,63808.2,0.99824,0.0135249,5486.98,0.915372
0.75,55,insert,857.849,-1.0,-1.0,0.0,1.05558
0.75,56,search,68149.6,0.99845,0.0128298,8718.72,1.05475
0.75,57,insert,81.533,-1.0,-1.0,0.0,1.06308
0.75,58,search,73723.8,0.99832,0.0132365,3609.6,1.06424
0.75,59,insert,607.923,-1.0,-1.0,0.0,1.16312
0.75,60,search,74026.8,0.99842,0.0127877,7151.63,1.16314
0.75,61,insert,43.485,-1.0,-1.0,0.0,1.16735
0.75,62,search,72941.1,0.99835,0.0133531,2662.36,1.16609
0.75,63,insert,10.599,-1.0,-1.0,0.0,1.16751
0.75,64,search,76467.6,0.99841,0.013133,1607.62,1.1678
0.75,65,insert,338.492,-1.0,-1.0,0.0,1.19699
0.75,66,search,80706.2,0.99861,0.0118774,3614.01,1.19703
0.75,67,insert,150.313,-1.0,-1.0,0.0,1.21641
0.75,68,search,83828.1,0.99866,0.011671,2375.81,1.21615
0.75,69,insert,202.397,-1.0,-1.0,0.0,1.23996
0.75,70,search,84355.5,0.99871,0.0114609,2483.47,1.24047
0.75,71,insert,57.209,-1.0,-1.0,0.0,1.24617
0.75,72,search,83249.4,0.99871,0.0114609,1776.57,1.24603
0.75,73,insert,32.473,-1.0,-1.0,0.0,1.24922
0.75,74,search,88491.1,0.99873,0.0113757,1286.27,1.24898
0.75,75,insert,80.764,-1.0,-1.0,0.0,1.25626
0.75,76,search,84799.6,0.99874,0.0113325,1329.12,1.25636
0.75,77,insert,124.679,-1.0,-1.0,0.0,1.26762
0.75,78,search,84922.9,0.99874,0.0113325,1478.46,1.26782
0.75,79,insert,761.751,-1.0,-1.0,0.0,1.29621
0.75,80,search,86215.4,0.99878,0.011248,2322.34,1.29592
0.75,81,insert,121.402,-1.0,-1.0,0.0,1.30874
0.75,82,search,87678.7,0.99882,0.0110733,1664.39,1.30874
0.75,83,insert,54.263,-1.0,-1.0,0.0,1.31517
0.75,84,search,86665.1,0.99884,0.010985,1343.1,1.31479
0.75,85,insert,126.908,-1.0,-1.0,0.0,1.33024
0.75,86,search,87677.9,0.99883,0.011029,1618.81,1.33007
0.75,87,insert,1442.07,-1.0,-1.0,0.0,1.52355
0.75,88,search,91504.2,0.99907,0.00970343,20731.1,1.52548
0.75,89,insert,1152.82,-1.0,-1.0,0.0,1.68253
0.75,90,search,102276,0.99919,0.0089639,26299.4,1.68473
0.75,91,insert,142.406,-1.0,-1.0,0.0,1.69899
0.75,92,search,110683,0.99916,0.00912731,9548.98,1.69933
0.75,93,insert,1085.72,-1.0,-1.0,0.0,1.80314
0.75,94,search,118291,0.99909,0.00949663,11761.1,1.8034
0.75,95,insert,71.56,-1.0,-1.0,0.0,1.81062
0.75,96,search,120615,0.99908,0.00954754,3874.38,1.81054
0.75,97,insert,52.145,-1.0,-1.0,0.0,1.81498
0.75,98,search,121596,0.99912,0.00933995,2183.57,1.81515
0.75,99,insert,28.321,-1.0,-1.0,0.0,1.8174
0.75,100,search,122336,0.99914,0.00923371,1759.05,1.81738
0.75,101,insert,148.033,-1.0,-1.0,0.0,1.83002
0.75,102,search,123854,0.99918,0.00901842,2099.05,1.83005
0.5,2,search,3743.63,0.97361,0.0540257,2.884,0.0183457
0.5,3,insert,11.153,-1.0,-1.0,0.0,0.0223845
0.5,4,search,3598.73,0.97715,0.0498717,3.635,0.0223845
0.5,5,insert,30.994,-1.0,-1.0,0.0,0.032811
0.5,6,search,4540.01,0.9874,0.0375665,89.192,0.032607
0.5,7,insert,38.563,-1.0,-1.0,0.0,0.0422019
0.5,8,search,4846.43,0.98484,0.0423822,159.183,0.0425038
0.5,9,insert,5.569,-1.0,-1.0,0.0,0.0440766
0.5,10,search,4957.5,0.98835,0.0364879,156.109,0.0444186
0.5,11,insert,13.488,-1.0,-1.0,0.0,0.0491412
0.5,12,search,5004.8,0.98773,0.037718,195.998,0.0493855
0.5,13,insert,34.581,-1.0,-1.0,0.0,0.0603616
0.5,14,search,5334.28,0.98638,0.0403838,252.709,0.0606627
0.5,15,insert,27.724,-1.0,-1.0,0.0,0.0691303
0.5,16,search,5421.35,0.98674,0.0394231,227.815,0.0688255
0.5,17,insert,5.141,-1.0,-1.0,0.0,0.071198
0.5,18,search,5687.47,0.98717,0.03814,223.956,0.0711552
0.5,19,insert,48.413,-1.0,-1.0,0.0,0.0782699
0.5,20,search,5800.35,0.98726,0.0383109,226.684,0.0782426
0.5,21,insert,437.962,-1.0,-1.0,0.0,0.197909
0.5,22,search,6458.81,0.98758,0.0366322,1111.19,0.196871
0.5,23,insert,497.166,-1.0,-1.0,0.0,0.322367
0.5,24,search,8118.26,0.98306,0.0436939,2786.47,0.321907
0.5,25,insert,69.664,-1.0,-1.0,0.0,0.341771
0.5,26,search,10072.1,0.97182,0.0582404,2577.11,0.341055
0.5,27,insert,48.109,-1.0,-1.0,0.0,0.353585
0.5,28,search,11947,0.96974,0.0605032,1338.78,0.35286
0.5,29,insert,89.058,-1.0,-1.0,0.0,0.379365
0.5,30,search,13399.3,0.97119,0.0587473,794.499,0.380149
0.5,31,insert,632.677,-1.0,-1.0,0.0,0.54195
0.5,32,search,13452.8,0.97269,0.057667,4650.08,0.543491
0.5,33,insert,89.775,-1.0,-1.0,0.0,0.565608
0.5,34,search,16581.5,0.97178,0.0584663,2672.46,0.566289
0.5,35,insert,71.556,-1.0,-1.0,0.0,0.580414
0.5,36,search,18470.8,0.97253,0.0581289,1532.85,0.580893
0.5,37,insert,92.37,-1.0,-1.0,0.0,0.600819
0.5,38,search,18330.6,0.97338,0.0567979,958.911,0.600816
0.5,39,insert,21.539,-1.0,-1.0,0.0,0.604612
0.5,40,search,19082.3,0.9732,0.0570819,694.963,0.604504
0.5,41,insert,102.789,-1.0,-1.0,0.0,0.619391
0.5,42,search,18711.9,0.97372,0.0567056,787.874,0.619435
0.5,43,insert,30.477,-1.0,-1.0,0.0,0.623922
0.5,44,search,19655.6,0.97383,0.0565013,830.736,0.623915
0.5,45,insert,378.58,-1.0,-1.0,0.0,0.639142
0.5,46,search,19384.2,0.97451,0.0559091,1157.1,0.639118
0.5,47,insert,563.585,-1.0,-1.0,0.0,0.741071
0.5,48,search,20200.9,0.97679,0.0534823,4321.88,0.739977
0.5,49,insert,74.871,-1.0,-1.0,0.0,0.755689
0.5,50,search,21395.2,0.97775,0.0525398,2115.88,0.754856
0.5,51,insert,701.766,-1.0,-1.0,0.0,0.891892
0.5,52,search,22905,0.98016,0.0498644,7573.03,0.893248
0.5,53,insert,114.214,-1.0,-1.0,0.0,0.911387
0.5,54,search,25683.9,0.97861,0.0517873,3388.47,0.911412
0.5,55,insert,669.195,-1.0,-1.0,0.0,1.05338
0.5,56,search,27611.4,0.98177,0.0481941,6749.72,1.05378
0.5,57,insert,79.394,-1.0,-1.0,0.0,1.06247
0.5,58,search,29610.8,0.98182,0.047809,2920.01,1.06225
0.5,59,insert,629.259,-1.0,-1.0,0.0,1.16263
0.5,60,search,30548.6,0.98243,0.0468256,5497.48,1.16091
0.5,61,insert,32.408,-1.0,-1.0,0.0,1.16516
0.5,62,search,29070.2,0.98031,0.0504931,1591.47,1.16459
0.5,63,insert,5.033,-1.0,-1.0,0.0,1.16564
0.5,64,search,30263.8,0.9807,0.0499765,1051.02,1.16574
0.5,65,insert,249.18,-1.0,-1.0,0.0,1.1948
0.5,66,search,30841.4,0.98149,0.0486293,2459.94,1.19433
0.5,67,insert,120.312,-1.0,-1.0,0.0,1.2146
0.5,68,search,31718.4,0.98176,0.0481391,1335.3,1.21446
0.5,69,insert,152.82,-1.0,-1.0,0.0,1.2364
0.5,70,search,32073.5,0.98193,0.0476919,1254.46,1.2368
0.5,71,insert,40.187,-1.0,-1.0,0.0,1.24216
0.5,72,search,32523.1,0.98202,0.0476519,1021.83,1.2423
0.5,73,insert,22.541,-1.0,-1.0,0.0,1.24529
0.5,74,search,31813.3,0.982,0.0476479,898.995,1.24531
0.5,75,insert,73.629,-1.0,-1.0,0.0,1.25279
0.5,76,search,34187.6,0.98213,0.0473263,991.224,1.25237
0.5,77,insert,96.793,-1.0,-1.0,0.0,1.26381
0.5,78,search,32661.1,0.98197,0.0474972,962.885,1.2637
0.5,79,insert,717.384,-1.0,-1.0,0.0,1.29164
0.5,80,search,32964.9,0.98178,0.0478975,1322.2,1.29165
0.5,81,insert,89.447,-1.0,-1.0,0.0,1.30421
0.5,82,search,33698.6,0.9821,0.0474537,1243.35,1.30482
0.5,83,insert,36.083,-1.0,-1.0,0.0,1.3108
0.5,84,search,34538.7,0.98218,0.0473759,1028.86,1.31099
0.5,85,insert,102.746,-1.0,-1.0,0.0,1.32549
