step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
44,search,3519.87,1530.62,983.339,0.988673,75.9508,-nan,-nan,0.89649,0.117523,-1.0,-1.0,9.674,0.62718,1257,1423411
45,insert,227.833,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.689,0.642324,1260,1457559
46,search,3563.34,1559.9,983.746,1.03183,91.352,-nan,-nan,0.89822,0.115715,-1.0,-1.0,9.425,0.642324,1260,1457559
47,insert,278.553,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,249.553,0.746998,1293,1688593
48,search,3699.72,1691.59,1072.3,1.09593,86.8992,-nan,-nan,0.89996,0.115395,-1.0,-1.0,68.501,0.746997,1299,1688593
49,insert,36.238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.268,0.761762,1303,1723505
50,search,3744.74,1700.35,1079.53,1.00068,89.5637,-nan,-nan,0.90036,0.11539,-1.0,-1.0,25.414,0.761763,1305,1723505
51,insert,330.509,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.942,0.902099,1343,2035040
52,search,3958.39,1892,1220.76,0.991052,92.724,-nan,-nan,0.90343,0.114527,-1.0,-1.0,39.714,0.902122,1346,2035040
53,insert,48.276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.876,0.921399,1354,2078341
54,search,4001.99,1901.24,1234.08,0.971816,104.595,-nan,-nan,0.90307,0.114776,-1.0,-1.0,11.57,0.921399,1354,2078341
55,insert,396.898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,424.448,1.06795,1408,2399905
56,search,4278.91,2074.73,1383.13,1.00095,123.162,-nan,-nan,0.9041,0.117122,-1.0,-1.0,128.021,1.06829,1430,2399905
57,insert,26.677,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.075,1.0755,1430,2419836
58,search,4336.19,2021.57,1397.92,0.982937,129.095,-nan,-nan,0.90212,0.118455,-1.0,-1.0,61.982,1.0758,1436,2419836
