step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
113,insert,13.825,-1.0,-1.0,0.0,2.01363
114,search,5880.59,0.87749,0.134656,1768.14,2.01361
115,insert,43.545,-1.0,-1.0,0.0,2.0251
116,search,5817.8,0.87814,0.134078,1978.89,2.02517
117,insert,20.328,-1.0,-1.0,0.0,2.03094
118,search,5801.19,0.87785,0.133866,5.54,2.03094
119,insert,4.48,-1.0,-1.0,0.0,2.0321
120,search,6083.57,0.87794,0.133861,5.483,2.0321
121,insert,48.315,-1.0,-1.0,0.0,2.03746
122,search,5840.58,0.87813,0.133744,1892.19,2.03721
123,insert,602.549,-1.0,-1.0,0.0,2.16106
124,search,6128.66,0.88084,0.132932,3866.97,2.15906
125,insert,85.81,-1.0,-1.0,0.0,2.17875
126,search,6286.2,0.8804,0.133098,2672.51,2.18027
127,insert,82.464,-1.0,-1.0,0.0,2.20135
128,search,6192.76,0.88153,0.132764,2885,2.20137
129,delete,15.611,-1.0,-1.0,0.0,2.20052
130,search,6082.36,0.88058,0.133406,1980.45,2.20037
131,delete,2.824,-1.0,-1.0,0.0,2.20037
132,search,6188.3,0.88083,0.133338,5.665,2.20037
133,delete,10.391,-1.0,-1.0,0.0,2.19995
134,search,6146.93,0.88096,0.133275,6.29,2.19995
135,delete,32.089,-1.0,-1.0,0.0,2.19862
136,search,6034,0.88397,0.129876,5.809,2.19862
137,delete,4.787,-1.0,-1.0,0.0,2.19862
138,search,6193.91,0.88394,0.129951,5.846,2.19862
139,delete,13.456,-1.0,-1.0,0.0,2.19704
140,search,5950.32,0.88361,0.130279,5.99,2.19704
141,delete,25.381,-1.0,-1.0,0.0,2.19455
142,search,6104.23,0.88446,0.12972,6.044,2.19455
143,delete,21.115,-1.0,-1.0,0.0,2.19209
144,search,5985.06,0.88467,0.129552,5.787,2.19209
145,delete,3.305,-1.0,-1.0,0.0,2.19153
146,search,5989.38,0.88427,0.129744,5.899,2.19153
147,delete,13.181,-1.0,-1.0,0.0,2.19074
148,search,5939.73,0.88441,0.129778,5.671,2.19074
149,delete,211.311,-1.0,-1.0,0.0,2.15126
150,search,5920.76,0.88901,0.126316,5.763,2.15126
151,delete,185.58,-1.0,-1.0,0.0,2.11187
152,search,5809.26,0.88897,0.126617,5.806,2.11187
153,delete,42.572,-1.0,-1.0,0.0,2.09711
154,search,5815.99,0.8886,0.127082,5.762,2.09711
155,delete,20.702,-1.0,-1.0,0.0,2.09221
156,search,5907.66,0.88857,0.127081,5.719,2.09221
157,delete,48.034,-1.0,-1.0,0.0,2.08237
158,search,5773.87,0.88769,0.127709,5.777,2.08237
159,delete,321.389,-1.0,-1.0,0.0,1.96167
160,search,5692.61,0.88667,0.128574,6.021,1.96167
161,delete,46.095,-1.0,-1.0,0.0,1.95016
162,search,5480.32,0.88681,0.128456,6.476,1.95016
163,delete,43.223,-1.0,-1.0,0.0,1.94007
164,search,5219.5,0.88618,0.128767,6.186,1.94007
165,delete,47.051,-1.0,-1.0,0.0,1.92987
166,search,5596.24,0.88636,0.128854,6.074,1.92987
167,delete,11.975,-1.0,-1.0,0.0,1.92722
168,search,5434.19,0.88573,0.129239,5.963,1.92722
169,delete,28.41,-1.0,-1.0,0.0,1.91789
170,search,5377.57,0.88545,0.129615,5.874,1.91789
171,delete,16.186,-1.0,-1.0,0.0,1.91382
172,search,5590.21,0.88514,0.129925,5.838,1.91382
173,delete,51.633,-1.0,-1.0,0.0,1.90235
174,search,5403.09,0.88394,0.13065,5.832,1.90235
175,delete,207.19,-1.0,-1.0,0.0,1.83231
176,search,5494.86,0.88398,0.130233,5.931,1.83231
177,delete,22.514,-1.0,-1.0,0.0,1.82606
178,search,5397.71,0.88288,0.130668,6.038,1.82606
179,delete,267.643,-1.0,-1.0,0.0,1.72411
180,search,5034.55,0.87965,0.131832,6.232,1.72411
181,delete,31.629,-1.0,-1.0,0.0,1.71091
182,search,5287.41,0.87934,0.132458,6.236,1.71091
183,delete,188.799,-1.0,-1.0,0.0,1.64133
184,search,5057.33,0.87455,0.134677,6.135,1.64133
185,delete,11.897,-1.0,-1.0,0.0,1.63781
186,search,4909.34,0.87414,0.134872,5.931,1.63781
187,delete,224.575,-1.0,-1.0,0.0,1.54994
188,search,5121.41,0.87738,0.132038,6.132,1.54994
189,delete,10.57,-1.0,-1.0,0.0,1.54637
190,search,4926.5,0.87733,0.131965,6.229,1.54637
191,delete,3.941,-1.0,-1.0,0.0,1.54521
192,search,4937.78,0.87736,0.131998,6.225,1.54521
193,delete,66.946,-1.0,-1.0,0.0,1.51521
194,search,5087.8,0.87423,0.134004,6.461,1.51521
195,delete,50.011,-1.0,-1.0,0.0,1.50018
196,search,5223.3,0.87238,0.13519,6.312,1.50018
197,delete,49.944,-1.0,-1.0,0.0,1.48792
198,search,5121.57,0.87239,0.135136,1424.57,1.48475
199,delete,43.656,-1.0,-1.0,0.0,1.47944
200,search,4955.57,0.87175,0.135413,6.151,1.47944
201,delete,10.797,-1.0,-1.0,0.0,1.47612
202,search,5098.1,0.8716,0.13554,6.353,1.47612
203,delete,19.562,-1.0,-1.0,0.0,1.47069
204,search,4951.74,0.87137,0.135821,6.105,1.47069
205,delete,33.241,-1.0,-1.0,0.0,1.46155
206,search,4784,0.87109,0.136011,6.108,1.46155
207,delete,64.913,-1.0,-1.0,0.0,1.44045
208,search,4880.87,0.87141,0.135728,5.94,1.44045
209,delete,28.569,-1.0,-1.0,0.0,1.42993
210,search,5134.09,0.87107,0.13558,6.117,1.42993
211,delete,12.444,-1.0,-1.0,0.0,1.42611
212,search,4973.64,0.87092,0.135626,6.587,1.42611
213,delete,24.888,-1.0,-1.0,0.0,1.41721
214,search,5039.05,0.87047,0.135796,5.966,1.41721
215,delete,389.371,-1.0,-1.0,0.0,1.26704
216,search,4841.32,0.86368,0.140725,6.365,1.26704
217,delete,257.97,-1.0,-1.0,0.0,1.16702
218,search,4738.05,0.85877,0.14386,6.371,1.16702
219,delete,30.419,-1.0,-1.0,0.0,1.15345
220,search,4662.81,0.85727,0.144926,6.266,1.15345
221,delete,238.093,-1.0,-1.0,0.0,1.05006
222,search,4498.32,0.85745,0.145373,6.249,1.05006
223,delete,14.601,-1.0,-1.0,0.0,1.04442
224,search,4581.92,0.85577,0.146588,6.183,1.04442
225,delete,6.764,-1.0,-1.0,0.0,1.0422
226,search,4518.76,0.8548,0.147296,6.411,1.0422
227,delete,9.336,-1.0,-1.0,0.0,1.04058
228,search,4556.44,0.85459,0.147346,6.296,1.04058
229,delete,34.257,-1.0,-1.0,0.0,1.02885
230,search,4448.45,0.85282,0.149097,6.183,1.02885
231,delete,18.31,-1.0,-1.0,0.0,1.02245
232,search,4309.72,0.85219,0.149564,6.169,1.02245
233,delete,7.978,-1.0,-1.0,0.0,1.02059
234,search,4479.33,0.85183,0.149804,6.158,1.02059
235,delete,14.012,-1.0,-1.0,0.0,1.01663
236,search,4415.61,0.85113,0.150262,6.184,1.01663
237,delete,297.671,-1.0,-1.0,0.0,0.904098
238,search,4326.41,0.84896,0.151575,6.152,0.904098
239,delete,28.519,-1.0,-1.0,0.0,0.891171
240,search,4326.78,0.84719,0.151772,6.126,0.891171
241,delete,11.374,-1.0,-1.0,0.0,0.887242
242,search,4331.92,0.84669,0.152021,6.232,0.887242
243,delete,23.768,-1.0,-1.0,0.0,0.879869
244,search,4295.36,0.84377,0.153611,6.321,0.879869
245,delete,17.427,-1.0,-1.0,0.0,0.874374
246,search,4287.64,0.84324,0.153727,6.073,0.874374
247,delete,5.966,-1.0,-1.0,0.0,0.872423
248,search,4268.57,0.84296,0.153881,6.23,0.872423
249,delete,10.142,-1.0,-1.0,0.0,0.868603
250,search,4052.89,0.84231,0.154146,6.184,0.868603
251,delete,303.096,-1.0,-1.0,0.0,0.759665
252,search,3814.35,0.84161,0.153805,6.073,0.759665
253,delete,38.52,-1.0,-1.0,0.0,0.745505
254,search,3918.58,0.83925,0.154876,5.932,0.745505
255,delete,47.826,-1.0,-1.0,0.0,0.726537
256,search,3922.35,0.83482,0.157373,5.956,0.726537
257,insert,10.63,-1.0,-1.0,0.0,0.727565
258,search,3900.57,0.83479,0.157399,6.198,0.727565
259,insert,34.249,-1.0,-1.0,0.0,0.733859
260,search,3902.62,0.83625,0.157024,6.04,0.733859
261,insert,3.358,-1.0,-1.0,0.0,0.7343
262,search,4065.98,0.8372,0.156322,6.15,0.7343
263,insert,249.528,-1.0,-1.0,0.0,0.776752
264,search,4118.63,0.8454,0.150513,1066.57,0.776424
265,insert,99.827,-1.0,-1.0,0.0,0.793373
266,search,4076.73,0.84708,0.149798,927.14,0.793225
267,insert,57.458,-1.0,-1.0,0.0,0.804204
268,search,3956.49,0.84978,0.14915,821.557,0.804047
269,insert,514.397,-1.0,-1.0,0.0,0.893202
270,search,4076.99,0.85261,0.148562,1600.83,0.890283
271,insert,4.607,-1.0,-1.0,0.0,0.891292
272,search,4211.53,0.8515,0.149382,1452.06,0.894095
273,insert,33.554,-1.0,-1.0,0.0,0.901891
274,search,4086.99,0.85238,0.148462,1454.45,0.901183
275,insert,801.61,-1.0,-1.0,0.0,1.05381
276,search,4460.4,0.85611,0.146582,1841.74,1.05301
277,insert,57.89,-1.0,-1.0,0.0,1.06426
278,search,4277.09,0.85599,0.146656,1150.59,1.06564
279,insert,36.155,-1.0,-1.0,0.0,1.07496
280,search,4436.94,0.85759,0.145204,1206.83,1.07339
281,insert,593.381,-1.0,-1.0,0.0,1.2014
282,search,4539.95,0.86017,0.14521,1695.77,1.19509
283,insert,683.588,-1.0,-1.0,0.0,1.37559
284,search,4571.61,0.86273,0.144432,2125.09,1.3758
285,insert,16.862,-1.0,-1.0,0.0,1.38118
286,search,4750.93,0.86337,0.143932,2099.53,1.38302
287,insert,57.602,-1.0,-1.0,0.0,1.39911
288,search,4858.86,0.86405,0.143433,1519.61,1.3994
289,insert,552.833,-1.0,-1.0,0.0,1.52845
290,search,4861.1,0.86965,0.141111,2086.18,1.52879
291,insert,41.152,-1.0,-1.0,0.0,1.53873
292,search,5020.96,0.87025,0.140568,1780.85,1.53922
293,insert,29.486,-1.0,-1.0,0.0,1.54695
294,search,5037.55,0.87003,0.140637,1606.44,1.54692
295,insert,387.603,-1.0,-1.0,0.0,1.63458
296,search,5024.42,0.87296,0.139928,1689.35,1.63495
297,insert,5.037,-1.0,-1.0,0.0,1.63632
298,search,5190.75,0.87203,0.140411,7.515,1.63632
299,insert,115.888,-1.0,-1.0,0.0,1.66174
300,search,4890.32,0.87539,0.137518,7.446,1.66174
301,insert,1099.41,-1.0,-1.0,0.0,1.9191
302,search,5778.8,0.89804,0.121196,4792.43,1.91738
303,insert,78.374,-1.0,-1.0,0.0,1.93856
304,search,5776.28,0.89763,0.121678,3831.84,1.93833
305,insert,559.415,-1.0,-1.0,0.0,2.10275
306,search,6061.46,0.89691,0.122395,2967.63,2.10265
307,insert,51.057,-1.0,-1.0,0.0,2.11286
308,search,5838.62,0.89785,0.121993,2310.45,2.11243
309,insert,15.716,-1.0,-1.0,0.0,2.11586
310,search,5781.07,0.89813,0.121778,2070.58,2.11404
311,insert,31.893,-1.0,-1.0,0.0,2.1226
312,search,5812.5,0.89835,0.121659,2024.76,2.12238
313,insert,96.441,-1.0,-1.0,0.0,2.14197
314,search,5803.18,0.89853,0.121699,2019.09,2.14153
315,insert,11.166,-1.0,-1.0,0.0,2.14316
316,search,5713.62,0.89838,0.121768,9.597,2.14316
317,insert,118.329,-1.0,-1.0,0.0,2.16223
318,search,6010.4,0.89799,0.122315,9.655,2.16223
319,insert,1011.75,-1.0,-1.0,0.0,2.37749
320,search,6227.76,0.90141,0.1194,5437.54,2.38127
