step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
63,insert,3.41,-1.0,-1.0,-1.0,-1.0,10.734,1.18123,1489,2656118
64,search,4742.82,0.9039,0.11847,-1.0,-1.0,11.125,1.18123,1489,2656118
65,insert,72.96,-1.0,-1.0,-1.0,-1.0,94.552,1.20956,1508,2723424
66,search,5103.51,0.90554,0.11719,-1.0,-1.0,11.279,1.20956,1508,2723424
67,insert,46.114,-1.0,-1.0,-1.0,-1.0,78.987,1.23164,1523,2769021
68,search,5131.05,0.90653,0.116421,-1.0,-1.0,24.94,1.23164,1526,2769021
69,insert,50.266,-1.0,-1.0,-1.0,-1.0,57.509,1.25403,1535,2821777
70,search,4863.58,0.90844,0.114447,-1.0,-1.0,23.343,1.25403,1536,2821777
71,insert,25.548,-1.0,-1.0,-1.0,-1.0,35.735,1.26041,1540,2834921
72,search,5273.28,0.90898,0.114243,-1.0,-1.0,11.676,1.26041,1540,2834921
73,insert,6.716,-1.0,-1.0,-1.0,-1.0,36.706,1.26336,1544,2842044
74,search,4944.68,0.90877,0.114226,-1.0,-1.0,12.623,1.26336,1544,2842044
75,insert,25.716,-1.0,-1.0,-1.0,-1.0,24.623,1.26947,1546,2858890
76,search,5254.27,0.90899,0.114142,-1.0,-1.0,12.304,1.26947,1546,2858890
