step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2510.87,0.78885,0.157032,27.0527,17.7427,5.294,0.0184873,1024,38806
3,insert,17.992,-1.0,-1.0,-1.0,-1.0,12.211,0.0226399,1020,49334
4,search,1897.33,0.80641,0.155898,25.2135,17.2457,16.15,0.0226509,1017,49334
5,insert,27.331,-1.0,-1.0,-1.0,-1.0,161.442,0.0331879,1008,73557
6,search,1836.14,0.8825,0.132204,18.2191,16.1598,126.261,0.0332585,1010,73557
7,insert,26.905,-1.0,-1.0,-1.0,-1.0,132.605,0.0429522,1009,95766
8,search,1853.5,0.87644,0.134428,18.092,15.5519,99.892,0.0430787,1012,95766
9,insert,4.133,-1.0,-1.0,-1.0,-1.0,90.646,0.0448135,1012,100025
10,search,1790.94,0.87833,0.131411,17.9568,15.225,95.3,0.0448135,1012,100025
11,insert,18.763,-1.0,-1.0,-1.0,-1.0,83.347,0.0498246,1016,111417
12,search,1824.12,0.87698,0.132463,17.9426,15.0717,77.56,0.0498241,1017,111417
13,insert,23.346,-1.0,-1.0,-1.0,-1.0,79.317,0.0609413,1019,137139
14,search,1829.88,0.86956,0.13772,18.1671,14.9146,18.292,0.0613979,1021,137139
15,insert,18.767,-1.0,-1.0,-1.0,-1.0,11.578,0.0700046,1024,156710
16,search,1862.19,0.86521,0.138489,18.3854,14.6427,14.23,0.0700071,1026,156710
17,insert,4.574,-1.0,-1.0,-1.0,-1.0,11.715,0.0722099,1030,161773
18,search,1867.57,0.86589,0.138037,18.336,14.6029,15.972,0.07242,1034,161773
19,insert,32.365,-1.0,-1.0,-1.0,-1.0,9.038,0.0790778,1036,177161
20,search,1879.51,0.86879,0.135162,18.2326,14.4954,13.795,0.079081,1038,177161
21,insert,395.862,-1.0,-1.0,-1.0,-1.0,216.196,0.201797,1100,448898
22,search,2093.61,0.85609,0.137369,20.1353,15.4665,65.331,0.201875,1119,448898
23,insert,389.892,-1.0,-1.0,-1.0,-1.0,290.344,0.3288,1186,733493
24,search,2311.41,0.84861,0.140954,21.0543,16.1878,116.111,0.329953,1226,733493
25,insert,37.211,-1.0,-1.0,-1.0,-1.0,30.434,0.347036,1234,777443
26,search,2350.33,0.84505,0.143622,21.5492,16.4151,20.538,0.347098,1239,777443
27,insert,28.429,-1.0,-1.0,-1.0,-1.0,23.696,0.358705,1244,805394
28,search,2414.18,0.84439,0.144252,21.5598,16.4382,15.145,0.358809,1246,805394
29,insert,69.083,-1.0,-1.0,-1.0,-1.0,72.422,0.385949,1266,866391
30,search,2466.8,0.84816,0.143571,21.2681,16.4132,32.437,0.385959,1272,866391
31,insert,490.382,-1.0,-1.0,-1.0,-1.0,330.674,0.554488,1355,1239816
32,search,2685.18,0.84428,0.146244,21.9635,17.0705,58.568,0.55463,1371,1239816
33,insert,30.903,-1.0,-1.0,-1.0,-1.0,32.743,0.574816,1383,1291211
34,search,2714.91,0.84521,0.145599,22.1202,17.2401,23.198,0.574899,1388,1291211
35,insert,32.543,-1.0,-1.0,-1.0,-1.0,31.841,0.586482,1398,1324978
36,search,2768.03,0.84496,0.145398,22.0964,17.2303,10.165,0.586482,1398,1324978
37,insert,62.535,-1.0,-1.0,-1.0,-1.0,43.626,0.606693,1407,1371885
38,search,2792.24,0.84707,0.144021,22.1626,17.499,22.124,0.606804,1411,1371885
39,insert,12.952,-1.0,-1.0,-1.0,-1.0,7.515,0.60949,1411,1379335
40,search,2822.45,0.84787,0.143573,22.1817,17.5559,8.231,0.60949,1411,1379335
41,insert,41.932,-1.0,-1.0,-1.0,-1.0,26.331,0.623605,1416,1413312
42,search,2797.33,0.84873,0.143042,22.1136,17.6173,8.04,0.623605,1416,1413312
43,insert,12.656,-1.0,-1.0,-1.0,-1.0,19.089,0.62779,1421,1423411
44,search,2819.4,0.84895,0.142384,22.1871,17.6613,10.247,0.62779,1421,1423411
45,insert,233.263,-1.0,-1.0,-1.0,-1.0,39.909,0.642786,1432,1457559
46,search,2844,0.85025,0.142214,22.1521,17.7282,8.364,0.642786,1432,1457559
47,insert,267.434,-1.0,-1.0,-1.0,-1.0,287.766,0.7478,1481,1688593
48,search,3002.87,0.85338,0.144828,21.7492,17.7945,99.084,0.747934,1495,1688593
49,insert,55.199,-1.0,-1.0,-1.0,-1.0,40.902,0.763193,1504,1723505
50,search,2981.46,0.8542,0.144603,21.688,17.8515,25.353,0.763202,1508,1723505
51,insert,406.42,-1.0,-1.0,-1.0,-1.0,323.47,0.90266,1583,2035040
52,search,3249.42,0.86035,0.143096,21.4189,18.2485,42.354,0.902663,1592,2035040
53,insert,46.754,-1.0,-1.0,-1.0,-1.0,27.989,0.920688,1597,2078341
54,search,3281.34,0.86001,0.142983,21.4531,18.2694,9.85,0.920688,1597,2078341
55,insert,413.547,-1.0,-1.0,-1.0,-1.0,459.84,1.06742,1672,2399905
56,search,3552.58,0.86391,0.141969,21.1968,18.328,128.988,1.0684,1699,2399905
57,insert,24.698,-1.0,-1.0,-1.0,-1.0,15.742,1.07695,1701,2419836
58,search,3569.92,0.86325,0.142288,21.2595,18.3659,38.284,1.07698,1708,2419836
59,insert,269.239,-1.0,-1.0,-1.0,-1.0,159.421,1.1761,1729,2643083
60,search,3638.98,0.85309,0.152819,22.8749,19.9851,44.941,1.17614,1735,2643083
61,insert,16.19,-1.0,-1.0,-1.0,-1.0,15.403,1.18034,1736,2653064
62,search,3655.61,0.85333,0.152467,22.9282,20.0064,16.153,1.18039,1737,2653064
63,insert,4.151,-1.0,-1.0,-1.0,-1.0,12.124,1.18138,1737,2656118
64,search,3633.9,0.85343,0.152435,22.9259,20.0216,13.174,1.18138,1737,2656118
65,insert,86.234,-1.0,-1.0,-1.0,-1.0,109.786,1.21057,1768,2723424
66,search,3716.87,0.85431,0.150963,22.9123,20.0327,14.347,1.21057,1768,2723424
67,insert,49.027,-1.0,-1.0,-1.0,-1.0,83.741,1.23077,1788,2769021
68,search,3760.49,0.85583,0.149979,22.7181,19.9901,22.765,1.23086,1790,2769021
69,insert,60.273,-1.0,-1.0,-1.0,-1.0,72.098,1.25285,1805,2821777
70,search,3808.74,0.85829,0.148571,22.4546,19.8502,20.195,1.25285,1806,2821777
71,insert,22.349,-1.0,-1.0,-1.0,-1.0,28.494,1.25871,1810,2834921
72,search,3848.06,0.85951,0.147675,22.3654,19.7941,28.525,1.2589,1812,2834921
73,insert,9.799,-1.0,-1.0,-1.0,-1.0,15.601,1.26118,1812,2842044
74,search,3862,0.85942,0.14784,22.3547,19.7868,16.648,1.26118,1812,2842044
75,insert,30.891,-1.0,-1.0,-1.0,-1.0,27.062,1.26972,1815,2858890
76,search,3845.98,0.85954,0.147692,22.2835,19.7363,23.779,1.2699,1816,2858890
77,insert,33.306,-1.0,-1.0,-1.0,-1.0,22.667,1.27909,1817,2882818
78,search,3925.13,0.85907,0.148255,22.3278,19.7485,16.603,1.27909,1817,2882818
79,insert,469.443,-1.0,-1.0,-1.0,-1.0,31.291,1.30629,1821,2947806
80,search,4394.29,0.85997,0.147338,22.3646,19.8183,11.012,1.30629,1821,2947806
81,insert,18.05,-1.0,-1.0,-1.0,-1.0,14.638,1.31727,1823,2976895
82,search,2979.97,0.86133,0.146238,22.1634,19.7422,11.299,1.31727,1823,2976895
83,insert,9.38,-1.0,-1.0,-1.0,-1.0,25.596,1.32417,1829,2990682
84,search,3114.54,0.86122,0.146055,22.1316,19.7434,11.634,1.32417,1829,2990682
85,insert,24.363,-1.0,-1.0,-1.0,-1.0,32.79,1.33769,1837,3025613
86,search,2998.78,0.8627,0.145252,22.0215,19.7358,14.857,1.33779,1838,3025613
87,insert,339.628,-1.0,-1.0,-1.0,-1.0,428.053,1.54249,1956,3468632
88,search,4326.23,0.86737,0.142602,21.3978,19.4815,102.349,1.5428,1968,3468632
89,insert,572.502,-1.0,-1.0,-1.0,-1.0,790.31,1.70218,2080,3831692
90,search,4595.32,0.87385,0.13641,20.801,19.034,108.454,1.70282,2093,3831692
91,insert,43.126,-1.0,-1.0,-1.0,-1.0,62.001,1.71585,2102,3864067
92,search,4613.09,0.87431,0.135531,20.7768,19.0553,46.046,1.71599,2106,3864067
93,insert,336.949,-1.0,-1.0,-1.0,-1.0,256.014,1.82029,2147,4103827
94,search,4736.66,0.87541,0.134931,20.7224,19.0464,60.971,1.82068,2152,4103827
95,insert,20.053,-1.0,-1.0,-1.0,-1.0,49.179,1.82706,2158,4119898
96,search,4734.31,0.8757,0.135004,20.6472,18.996,34.293,1.82725,2159,4119898
97,insert,11.546,-1.0,-1.0,-1.0,-1.0,25.891,1.83071,2159,4129367
98,search,4737.63,0.8758,0.13482,20.6529,18.9927,34.546,1.83091,2161,4129367
99,insert,8.566,-1.0,-1.0,-1.0,-1.0,30.993,1.83401,2162,4134502
100,search,4755.38,0.87601,0.134731,20.6395,18.9914,41.147,1.83431,2165,4134502
101,insert,40.52,-1.0,-1.0,-1.0,-1.0,48.615,1.84703,2169,4164482
102,search,4768.65,0.87619,0.134728,20.5941,18.9886,28.01,1.84703,2169,4164482
103,insert,25.527,-1.0,-1.0,-1.0,-1.0,38.153,1.85371,2172,4178601
104,search,4815.29,0.87643,0.134586,20.5674,18.972,28.654,1.85371,2172,4178601
105,insert,14.549,-1.0,-1.0,-1.0,-1.0,42.168,1.85761,2175,4187774
106,search,4820.41,0.87637,0.134725,20.5533,18.9576,28.761,1.85761,2175,4187774
107,insert,22.995,-1.0,-1.0,-1.0,-1.0,44.912,1.86285,2177,4200109
108,search,4596.47,0.87629,0.1348,20.5572,18.9789,27.758,1.86285,2177,4200109
109,insert,566.298,-1.0,-1.0,-1.0,-1.0,551.967,2.01867,2268,4557867
110,search,3894.16,0.87927,0.133266,20.2417,18.9546,56.973,2.01936,2280,4557867
111,insert,17.108,-1.0,-1.0,-1.0,-1.0,30.656,2.03011,2286,4587252
112,search,3910.36,0.87976,0.13298,20.1785,18.9401,26.966,2.03048,2288,4587252
113,insert,6.74,-1.0,-1.0,-1.0,-1.0,22.023,2.03475,2289,4600056
114,search,3871.89,0.87983,0.133041,20.1453,18.9389,19.401,2.03475,2289,4600056
115,insert,18.266,-1.0,-1.0,-1.0,-1.0,38.622,2.0463,2297,4627422
116,search,3912.43,0.88064,0.132247,20.059,18.8716,22.081,2.04634,2298,4627422
117,insert,8.143,-1.0,-1.0,-1.0,-1.0,18.55,2.05045,2298,4639292
118,search,3904.84,0.88056,0.132404,20.0593,18.8578,23.538,2.05045,2298,4639292
119,insert,5.514,-1.0,-1.0,-1.0,-1.0,22.996,2.0539,2299,4643423
120,search,3945.45,0.88049,0.132455,20.0604,18.8648,19.738,2.0539,2299,4643423
121,insert,12.382,-1.0,-1.0,-1.0,-1.0,22.345,2.05979,2300,4657252
122,search,3931.43,0.88123,0.131974,20.0423,18.8702,27.411,2.05997,2302,4657252
123,insert,202.928,-1.0,-1.0,-1.0,-1.0,279.064,2.19066,2361,4938477
124,search,4072.44,0.88257,0.132693,19.7338,18.6822,88.191,2.19211,2380,4938477
125,insert,33.54,-1.0,-1.0,-1.0,-1.0,33.448,2.2076,2386,4980492
126,search,4044.42,0.88261,0.132702,19.6938,18.6786,22.979,2.20761,2388,4980492
127,insert,35.448,-1.0,-1.0,-1.0,-1.0,35.554,2.22594,2399,5030515
128,search,4111.11,0.88355,0.132007,19.5949,18.6696,15.99,2.22605,2401,5030515
129,delete,10.875,-1.0,-1.0,-1.0,-1.0,15.381,2.22518,2390,5009391
130,search,4065.59,0.88353,0.132007,19.6651,18.7597,11.302,2.22518,2390,5009391
131,delete,2.677,-1.0,-1.0,-1.0,-1.0,10.668,2.22518,2390,5004093
132,search,4046.49,0.88367,0.131942,19.6413,18.7374,11.049,2.22518,2390,5004093
133,delete,6.279,-1.0,-1.0,-1.0,-1.0,10.115,2.22491,2390,4991787
134,search,4046.43,0.88351,0.131898,19.6427,18.7376,11.551,2.22491,2390,4991787
135,delete,9.434,-1.0,-1.0,-1.0,-1.0,27.575,2.22258,2387,4974857
136,search,4039.39,0.883,0.132265,19.6683,18.7623,12.185,2.22258,2387,4974857
137,delete,2.362,-1.0,-1.0,-1.0,-1.0,10.36,2.22258,2387,4971386
