step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
71,insert,19.46,-1.0,-1.0,-1.0,-1.0,28.468,1.25513,1772,2834921
72,search,4189.68,0.88321,0.131664,21.9397,19.3137,17.138,1.25513,1772,2834921
73,insert,10.807,-1.0,-1.0,-1.0,-1.0,20.768,1.25859,1773,2842044
74,search,4477.73,0.88311,0.131709,21.929,19.315,16.717,1.25859,1773,2842044
75,insert,25.405,-1.0,-1.0,-1.0,-1.0,33.817,1.26723,1777,2858890
76,search,4215.89,0.88334,0.13162,21.8792,19.2534,16.564,1.26723,1777,2858890
77,insert,34.616,-1.0,-1.0,-1.0,-1.0,18.521,1.27747,1778,2882818
78,search,4500.46,0.88334,0.131658,21.9509,19.3011,16.559,1.27747,1778,2882818
79,insert,530.73,-1.0,-1.0,-1.0,-1.0,48.219,1.30615,1787,2947806
80,search,4556.32,0.88298,0.131908,22.0778,19.4783,18.191,1.30615,1787,2947806
81,insert,48.941,-1.0,-1.0,-1.0,-1.0,24.089,1.31915,1789,2976895
82,search,4333.07,0.8841,0.130863,21.8776,19.3785,20.582,1.31917,1790,2976895
83,insert,14.381,-1.0,-1.0,-1.0,-1.0,24.704,1.32435,1792,2990682
84,search,4457.43,0.88504,0.130283,21.8483,19.3678,25.76,1.3245,1794,2990682
85,insert,51.476,-1.0,-1.0,-1.0,-1.0,44.603,1.33889,1800,3025613
86,search,4438.05,0.88595,0.130118,21.7465,19.3817,12.008,1.33889,1800,3025613
87,insert,497.437,-1.0,-1.0,-1.0,-1.0,701.709,1.54462,1933,3468632
88,search,4889.31,0.88965,0.127362,21.2515,19.1936,107.801,1.54488,1949,3468632
89,insert,391.713,-1.0,-1.0,-1.0,-1.0,392.827,1.70077,2035,3831692
90,search,5252.61,0.89506,0.121518,20.6746,18.7578,69.155,1.70146,2049,3831692
91,insert,22.394,-1.0,-1.0,-1.0,-1.0,42.981,1.71228,2056,3864067
92,search,4938.63,0.89495,0.121311,20.6944,18.7848,31.649,1.71228,2057,3864067
93,insert,215.562,-1.0,-1.0,-1.0,-1.0,326.612,1.82009,2106,4103827
94,search,5370.82,0.89548,0.121323,20.5744,18.7796,48.045,1.82029,2112,4103827
95,insert,15.42,-1.0,-1.0,-1.0,-1.0,47.88,1.82701,2118,4119898
96,search,5114.47,0.89602,0.121042,20.5233,18.7499,31.491,1.82729,2120,4119898
97,insert,6.268,-1.0,-1.0,-1.0,-1.0,34.852,1.83058,2123,4129367
98,search,5175.03,0.89571,0.120922,20.5378,18.748,24.91,1.83058,2123,4129367
99,insert,4.421,-1.0,-1.0,-1.0,-1.0,26.125,1.83218,2123,4134502
100,search,5729.91,0.89572,0.121015,20.514,18.7408,29.912,1.83218,2123,4134502
101,insert,45.061,-1.0,-1.0,-1.0,-1.0,64.225,1.84414,2130,4164482
102,search,5752.75,0.89616,0.121057,20.4725,18.7317,30.308,1.84414,2130,4164482
103,insert,25.77,-1.0,-1.0,-1.0,-1.0,54.016,1.85165,2136,4178601
