step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,3748.95,0.91201,0.102646,2.974,0.0183461
3,insert,13.614,-1.0,-1.0,0.0,0.0223849
4,search,3057.03,0.91992,0.0979933,23.939,0.0224592
5,insert,36.075,-1.0,-1.0,0.0,0.0330443
6,search,3121.34,0.95483,0.0772748,99.381,0.0329754
7,insert,35.987,-1.0,-1.0,0.0,0.0423855
8,search,3241.03,0.95122,0.0804345,149.885,0.0422513
9,insert,5.164,-1.0,-1.0,0.0,0.0442505
10,search,3346.96,0.95818,0.0725195,164.741,0.0442631
11,insert,13.129,-1.0,-1.0,0.0,0.0495251
12,search,3459.44,0.95472,0.0765104,202.715,0.0493472
13,insert,32.082,-1.0,-1.0,0.0,0.0607594
14,search,3710.29,0.94835,0.0813495,298.256,0.0605403
15,insert,35.712,-1.0,-1.0,0.0,0.0692233
16,search,3973.52,0.946,0.0820631,297.233,0.0692376
17,insert,4.884,-1.0,-1.0,0.0,0.0713612
18,search,4212.9,0.94276,0.084701,278.457,0.0712972
19,insert,48.047,-1.0,-1.0,0.0,0.0780582
20,search,4424.03,0.94469,0.0831914,250.772,0.0779325
21,insert,447.638,-1.0,-1.0,0.0,0.19733
22,search,4847.38,0.94669,0.0799093,1227.74,0.196926
23,insert,457.186,-1.0,-1.0,0.0,0.321974
24,search,5262.17,0.93336,0.0925517,1921.82,0.321603
25,insert,56.324,-1.0,-1.0,0.0,0.340791
26,search,7364.43,0.92558,0.097945,2473.26,0.340803
27,insert,49.323,-1.0,-1.0,0.0,0.353285
28,search,9179.81,0.92288,0.09977,1740.47,0.353604
29,insert,91.165,-1.0,-1.0,0.0,0.380443
30,search,9166.82,0.92855,0.096077,652.576,0.380629
31,insert,619.055,-1.0,-1.0,0.0,0.544489
32,search,11505.4,0.93309,0.093111,4951.6,0.544117
33,insert,86.913,-1.0,-1.0,0.0,0.566514
34,search,13416.8,0.93383,0.0926381,3484.35,0.566909
35,insert,70.459,-1.0,-1.0,0.0,0.582114
36,search,12470.2,0.93599,0.0915027,1314.85,0.582573
37,insert,114.705,-1.0,-1.0,0.0,0.603454
38,search,15553,0.93783,0.0899942,958.943,0.603449
39,insert,15.146,-1.0,-1.0,0.0,0.606742
40,search,15617.8,0.93755,0.090397,404.489,0.606713
41,insert,65.483,-1.0,-1.0,0.0,0.621102
42,search,15531.9,0.93842,0.0896568,796.485,0.621644
43,insert,19.609,-1.0,-1.0,0.0,0.625649
44,search,15454.8,0.93934,0.0891817,475.391,0.625488
45,insert,349.031,-1.0,-1.0,0.0,0.640433
46,search,12608.9,0.9409,0.0880706,776.315,0.640496
47,insert,472.393,-1.0,-1.0,0.0,0.741606
48,search,16275.3,0.94461,0.0855662,3697.76,0.740908
49,insert,58.978,-1.0,-1.0,0.0,0.756258
50,search,15812.3,0.94578,0.0850588,2373.69,0.756896
51,insert,650.762,-1.0,-1.0,0.0,0.893122
52,search,18486.4,0.95167,0.0802847,9590.41,0.893064
53,insert,105.303,-1.0,-1.0,0.0,0.912425
54,search,20556.1,0.95131,0.0810455,4045.01,0.912818
55,insert,659.937,-1.0,-1.0,0.0,1.05328
56,search,23672.2,0.95728,0.0759152,9180.75,1.05401
57,insert,59.095,-1.0,-1.0,0.0,1.0632
58,search,23032.5,0.95659,0.0758089,3113.05,1.06259
59,insert,481.023,-1.0,-1.0,0.0,1.15957
60,search,25631.6,0.95784,0.0743588,4058.99,1.15849
61,insert,18.897,-1.0,-1.0,0.0,1.16262
62,search,26410.8,0.95395,0.08027,2285.74,1.1637
63,insert,5.858,-1.0,-1.0,0.0,1.16503
64,search,26971,0.95453,0.0790186,1485.59,1.16426
65,insert,173.27,-1.0,-1.0,0.0,1.19352
66,search,25436.5,0.95582,0.0772086,2311.86,1.19431
67,insert,118.377,-1.0,-1.0,0.0,1.21381
68,search,27590.2,0.95656,0.0762358,2547.71,1.21439
69,insert,139.229,-1.0,-1.0,0.0,1.23671
70,search,25447,0.95742,0.0753606,1361.89,1.23639
71,insert,41.005,-1.0,-1.0,0.0,1.24248
72,search,29140.1,0.95763,0.0752386,1632.31,1.24257
73,insert,21.114,-1.0,-1.0,0.0,1.24584
74,search,28418.6,0.95757,0.0753229,1344.99,1.24576
75,insert,77.12,-1.0,-1.0,0.0,1.25383
76,search,28175.5,0.95768,0.0750396,1643.4,1.25361
77,insert,93.658,-1.0,-1.0,0.0,1.2645
78,search,28797.6,0.9576,0.0751443,989.816,1.26461
79,insert,845.002,-1.0,-1.0,0.0,1.29217
80,search,22415.4,0.95776,0.0749976,1373.19,1.29238
81,insert,91.654,-1.0,-1.0,0.0,1.3053
82,search,29191.4,0.95858,0.0737777,1392.21,1.30562
83,insert,38.357,-1.0,-1.0,0.0,1.31189
84,search,29792,0.95885,0.0733661,1622.57,1.31128
85,insert,104.426,-1.0,-1.0,0.0,1.3277
86,search,29759.9,0.9593,0.0727576,1594.69,1.32781
87,insert,1117.91,-1.0,-1.0,0.0,1.52264
88,search,30787.1,0.96327,0.0676942,15582.9,1.52422
89,insert,1019.8,-1.0,-1.0,0.0,1.68107
90,search,34169.4,0.96667,0.06386,16086.1,1.68166
91,insert,122.495,-1.0,-1.0,0.0,1.69657
92,search,32976.8,0.96678,0.0644734,4010.37,1.69663
93,insert,827.294,-1.0,-1.0,0.0,1.80078
94,search,37109.2,0.96712,0.0638375,5752.57,1.8006
95,insert,47.05,-1.0,-1.0,0.0,1.80781
96,search,37810.4,0.96749,0.0636266,2509.31,1.80742
97,insert,31.976,-1.0,-1.0,0.0,1.81148
98,search,39507,0.96762,0.0634205,1425.94,1.81135
99,insert,27.889,-1.0,-1.0,0.0,1.81418
100,search,40875.2,0.96765,0.0633626,1271.16,1.81424
101,insert,132.357,-1.0,-1.0,0.0,1.82705
102,search,40646.6,0.96791,0.0630382,1493.15,1.82677
103,insert,43.794,-1.0,-1.0,0.0,1.83254
104,search,39604,0.96808,0.0628118,1488.1,1.83318
105,insert,35.447,-1.0,-1.0,0.0,1.83698
106,search,38631.5,0.96815,0.0628426,1296.73,1.83709
107,insert,66.249,-1.0,-1.0,0.0,1.84299
108,search,38677.8,0.96817,0.0628348,1322.95,1.84298
109,insert,1287.6,-1.0,-1.0,0.0,2.0006
110,search,41152.5,0.96984,0.0606519,12820,1.99993
111,insert,91.233,-1.0,-1.0,0.0,2.01235
112,search,42773,0.97048,0.0598906,4296.84,2.01228
113,insert,55.928,-1.0,-1.0,0.0,2.01788
114,search,42800.4,0.9704,0.0599167,1953.75,2.01798
115,insert,128.33,-1.0,-1.0,0.0,2.03031
116,search,44993.7,0.97085,0.0594764,1777.98,2.03038
117,insert,45.136,-1.0,-1.0,0.0,2.0356
118,search,44865.8,0.97094,0.0592616,1508.97,2.0352
119,insert,17.356,-1.0,-1.0,0.0,2.0371
120,search,44654.8,0.97098,0.0593001,1473.83,2.03718
121,insert,69.592,-1.0,-1.0,0.0,2.04358
122,search,41579.5,0.97104,0.0591428,1523.79,2.04354
123,insert,1108.95,-1.0,-1.0,0.0,2.16608
124,search,41835.3,0.97211,0.0581344,5953.15,2.16666
125,insert,198.112,-1.0,-1.0,0.0,2.1864
126,search,44581,0.97284,0.0573126,4490.63,2.18669
127,insert,182.593,-1.0,-1.0,0.0,2.208
128,search,45031.5,0.97353,0.0564313,3359.55,2.20838
129,delete,14.156,-1.0,-1.0,0.0,2.20694
130,search,47893.3,0.9736,0.0564543,1767.94,2.20686
131,delete,4.495,-1.0,-1.0,0.0,2.20668
132,search,47533.1,0.97366,0.0563439,1608.55,2.2067
133,delete,13.714,-1.0,-1.0,0.0,2.20649
134,search,42035.7,0.97365,0.0564712,102.593,2.20649
135,delete,45.208,-1.0,-1.0,0.0,2.20436
136,search,46171.2,0.97401,0.0559797,99.578,2.20436
137,delete,11.148,-1.0,-1.0,0.0,2.20434
138,search,46136.1,0.97397,0.0560673,95.865,2.20434
139,delete,15.03,-1.0,-1.0,0.0,2.20232
140,search,46758.5,0.97399,0.056044,1557.99,2.20239
141,delete,20.302,-1.0,-1.0,0.0,2.19794
142,search,46753.5,0.97405,0.0559093,1597.17,2.19779
143,delete,16.636,-1.0,-1.0,0.0,2.19417
144,search,44369.1,0.97399,0.056044,100.448,2.19417
145,delete,5.793,-1.0,-1.0,0.0,2.19318
146,search,48659.8,0.97388,0.0561804,99.627,2.19318
147,delete,27.4,-1.0,-1.0,0.0,2.19246
148,search,47121.5,0.97391,0.0561853,95.501,2.19246
149,delete,230.619,-1.0,-1.0,0.0,2.14778
150,search,46830.8,0.97451,0.0557837,94.038,2.14778
151,delete,188.4,-1.0,-1.0,0.0,2.10792
152,search,44544.9,0.97429,0.0560772,98.653,2.10792
153,delete,51.397,-1.0,-1.0,0.0,2.09341
154,search,45344.8,0.97403,0.0565428,100.541,2.09341
155,delete,49.971,-1.0,-1.0,0.0,2.08959
156,search,46860.4,0.97399,0.0564352,97.205,2.08959
157,delete,72.512,-1.0,-1.0,0.0,2.07699
158,search,42812.6,0.97384,0.0566412,92.849,2.07699
159,delete,318.108,-1.0,-1.0,0.0,1.95404
160,search,42129.9,0.97344,0.0567896,98.321,1.95404
161,delete,82.235,-1.0,-1.0,0.0,1.9416
162,search,47944.9,0.97343,0.0567033,100.236,1.9416
163,delete,59.083,-1.0,-1.0,0.0,1.93227
164,search,47539.9,0.97344,0.0567191,101.423,1.93227
165,delete,69.325,-1.0,-1.0,0.0,1.92234
166,search,46899,0.97338,0.0568155,92.307,1.92234
167,delete,9.188,-1.0,-1.0,0.0,1.92008
168,search,46893.3,0.97331,0.0569972,96.742,1.92008
169,delete,34.925,-1.0,-1.0,0.0,1.9131
170,search,43859.7,0.97323,0.0570165,100.664,1.9131
171,delete,30.817,-1.0,-1.0,0.0,1.90997
172,search,45038.7,0.97314,0.0570861,98.881,1.90997
173,delete,80.717,-1.0,-1.0,0.0,1.89786
174,search,45515.8,0.97287,0.0574233,93.91,1.89786
175,delete,191.271,-1.0,-1.0,0.0,1.8273
176,search,46979.7,0.97284,0.0574695,94.638,1.8273
177,delete,32.047,-1.0,-1.0,0.0,1.82037
